country_name,iso,Region,Donor/Recipient
Afghanistan,AFG,South Asia,0
Armenia,ARM,Central and West  Asia,0
Australia,AUS,Oceania,1
Azerbaijan,AZE,Central and West  Asia,0
Bangladesh,BGD,South Asia,0
Bhutan,BTN,South Asia,0
Brunei Darussalam,BRN,Southeast Asia,1
Cambodia,KHM,Southeast Asia,0
Cook Islands,COK,Oceania,0
Federated States of Micronesia,FSM,Oceania,0
Fiji,FJI,Oceania,0
Georgia,GEO,Central and West  Asia,0
"Hong Kong, China",HKG,East Asia,1
India,IND,South Asia,1
Indonesia,IDN,Southeast Asia,1
Japan,JPN,East Asia,1
Kazakhstan,KAZ,Central and West  Asia,1
Kiribati,KIR,Oceania,0
Kyrgyz Republic,KGZ,Central and West  Asia,0
Lao People's Democratic Republic,LAO,Southeast Asia,0
Malaysia,MYS,Southeast Asia,1
Maldives,MDV,South Asia,0
Marshall Islands,MHL,Oceania,0
Mongolia,MNG,East Asia,0
Myanmar,MMR,Southeast Asia,0
Nauru,NRU,Oceania,1
Nepal,NPL,South Asia,0
New Zealand,NZL,Oceania,1
Niue,NIU,Oceania,0
Pakistan,PAK,South Asia,0
Palau,PLW,Oceania,0
Papua New Guinea,PNG,Oceania,0
People's Republic of China,CHN,East Asia,1
Philippines,PHL,Southeast Asia,0
Republic of Korea,KOR,East Asia,1
Samoa,WSM,Oceania,0
Singapore,SGP,Southeast Asia,1
Solomon Islands,SLB,Oceania,0
Sri Lanka,LKA,South Asia,0
"Taipei,China",TWN,East Asia,1
Tajikistan,TJK,Central and West  Asia,0
Thailand,THA,Southeast Asia,1
Timor-Leste,TLS,Southeast Asia,0
Tonga,TON,Oceania,0
Turkmenistan,TKM,Central and West  Asia,0
Tuvalu,TUV,Oceania,0
Uzbekistan,UZB,Central and West  Asia,0
Vanuatu,VUT,Oceania,0
Viet Nam,VNM,Southeast Asia,0