iso,year,data_source,country_name,A1,A2,A3,A_avg,B4,B5,B6,B_avg,C7,C8,C9,C10,C11,C_avg,D12,D13,D14,D15,D16,D_avg,portfolio,overall_rating
LAO,2014,ADB_CPA,Laos,4,4,4,4,4.5,3.5,3.5,3.8,4,4.5,4.5,3.5,4,4.1,3.5,4,4,4.5,3.5,3.9,4,4
LAO,2015,ADB_CPA,Laos,4,4,4,4,4.5,3.5,3.5,3.8,4,4.5,4.5,3.5,4,4.1,3.5,4,4,4.5,3.5,3.9,4.5,4
LAO,2016,ADB_CPA,Laos,3.5,4,3.5,3.7,4.5,3.5,3.5,3.8,4,4.5,4.5,3.5,4,4.1,3.5,4,4,4,3.5,3.8,4,3.9
LAO,2017,ADB_CPA,Laos,,,,,,,,,,,,,,,,,,,,,,
LAO,2018,ADB_CPA,Laos,3.5,4,3,3.5,4.5,3.5,3.5,3.8,4,4.5,4.5,3.5,3.5,4,3.5,4,4,4,3,3.7,3.5,3.8
LAO,2019,ADB_CPA,Laos,,,,,,,,,,,,,,,,,,,,,,
LAO,2020,ADB_CPA,Laos,3.5,3,2.5,3,4.5,3,3.5,3.7,4,4,4.5,3.5,4,4,3.5,3.5,3,3,2.5,3.1,3,3.4
LKA,2006,ADB_CPA,Sri Lanka,3.5,2.5,3.5,3.2,3.5,4,3.5,3.7,3.5,3.5,4,3.5,4,3.7,3,4,3,3,3.5,3.3,5,3.5
LKA,2007,ADB_CPA,Sri Lanka,3.5,2.5,3.5,3.2,3.5,4,3.5,3.7,3.5,4,4,3.5,4,3.8,3,4,3.5,3,3,3.3,3,3.5
LKA,2008,ADB_CPA,Sri Lanka,3.5,2.5,3,3,3.5,4,3.5,3.7,4,4,4,3.5,3.5,3.8,3,4,3.5,3,3,3.3,3.5,3.4
LKA,2009,ADB_CPA,Sri Lanka,3,2.5,3,2.8,3.5,4,3.5,3.7,4,4,4,3.5,3.5,3.8,3,4,3.5,3,3,3.3,3.5,3.4
LKA,2010,ADB_CPA,Sri Lanka,4,3,3,3.3,3.5,4,3.5,3.7,4,4,4,3.5,3.5,3.8,3.5,4,3.5,3.5,3,3.5,3.5,3.6
LKA,2011,ADB_CPA,Sri Lanka,4,3.5,3.5,3.7,4,4,3.5,3.8,4,4.5,4.5,3.5,3.5,4,4,4,4,3.5,3.5,3.8,3.5,3.8
LKA,2012,ADB_CPA,Sri Lanka,4.5,4,4,4.2,4.5,4,4,4.2,4,4.5,4.5,3.5,4,4.1,4,4,4,3.5,3.5,3.8,4,4.1
LKA,2013,ADB_CPA,Sri Lanka,4.5,4,4,4.2,4.5,4,4,4.2,4,4.5,5,4,4,4.3,4,4,4,4,3.5,3.9,4.5,4.1
LKA,2014,ADB_CPA,Sri Lanka,4.5,4,4,4.2,4.5,4,4,4.2,4,5,5,4,4,4.4,4,4,4,4,3.5,3.9,4.5,4.2
LKA,2015,ADB_CPA,Sri Lanka,4.5,4,4,4.2,4.5,4,4,4.2,4,5,5,4,4,4.4,4,4,4,4,4,4,4.5,4.2
LKA,2016,ADB_CPA,Sri Lanka,4,3,3.5,3.5,4.5,4,4,4.2,4,4.5,5,4,4,4.3,4,4,4,4,4,4,4,4
LKA,2017,ADB_CPA,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,
LKA,2018,ADB_CPA,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,
LKA,2019,ADB_CPA,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,
LKA,2020,ADB_CPA,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,
MDV,2006,ADB_CPA,Maldives,4.5,3.5,4.5,4.2,4,4,4,4,4,4,,3.5,4,3.9,4,3.5,4,4,3,3.7,4.5,3.9
MDV,2007,ADB_CPA,Maldives,3.5,2.5,3.5,3.2,3.5,3,4,3.5,4,4,4,3.5,4,3.9,4,3.5,4,4,2.5,3.6,3,3.5
MDV,2008,ADB_CPA,Maldives,3.5,2.5,3.5,3.2,3.5,3,4,3.5,4,4,4,3.5,4,3.9,4,3.5,4,4,2.5,3.6,2.5,3.5
MDV,2009,ADB_CPA,Maldives,2.5,2,3,2.5,3,3,4,3.3,3.5,4,4,3.5,3.5,3.7,3,3,3,3,2.5,2.9,2.5,3.1
MDV,2010,ADB_CPA,Maldives,4,3.5,3,3.5,3.5,3,4,3.5,3.5,4,4,3.5,3.5,3.7,4,3,4,4,3,3.6,2.5,3.6
MDV,2011,ADB_CPA,Maldives,4,3.5,3,3.5,3.5,3,4,3.5,3.5,4,4,3.5,3.5,3.7,4,3,4,4,3,3.6,4.5,3.6
MDV,2012,ADB_CPA,Maldives,4,3.5,3,3.5,4,3,4,3.7,4,4.5,4.5,4,4,4.2,4,3,4,4,3,3.6,2.5,3.7
MDV,2013,ADB_CPA,Maldives,4,3.5,3,3.5,4,3,4,3.7,4,4.5,4.5,4,4,4.2,4,3,4,4,3,3.6,4.5,3.7
MDV,2014,ADB_CPA,Maldives,3.5,3.5,3,3.3,4.5,3,4,3.8,4,4.5,5,4.5,4,4.4,4,3,4.5,4,3,3.7,4,3.8
MDV,2015,ADB_CPA,Maldives,3.5,3.5,3,3.3,4.5,3,4,3.8,4,4.5,5,4.5,4,4.4,4,3,4.5,4,3,3.7,4.5,3.8
MDV,2016,ADB_CPA,Maldives,3.5,3.5,3,3.3,4,3.5,4,3.8,4,5,5,4.5,4,4.5,4,3,5,4,2.5,3.7,3,3.8
MDV,2017,ADB_CPA,Maldives,,,,,,,,,,,,,,,,,,,,,,
MDV,2018,ADB_CPA,Maldives,3.5,3.5,3,3.3,4,3.5,4,3.8,4,5,5,4.5,4,4.5,4,3,5,4,2,3.6,4.5,3.8
MDV,2019,ADB_CPA,Maldives,,,,,,,,,,,,,,,,,,,,,,
MDV,2020,ADB_CPA,Maldives,3.5,3.5,3,3.3,4.5,3.5,4.5,4.2,4,5,5,4.5,4,4.5,3.5,4,5,4,2.5,3.8,3.5,4
MHL,2006,ADB_CPA,Marshall Islands,2.5,2.5,3,2.7,3,3.5,2.5,3,2.5,2.5,3,3,2.5,2.7,3,3,3,2,2.5,2.7,4.5,2.8
MHL,2007,ADB_CPA,Marshall Islands,2.5,2.5,2,2.3,3,3,2.5,2.8,3,2,3,2.5,2.5,2.6,3.5,2.5,3,2,2.5,2.7,3.5,2.6
MHL,2008,ADB_CPA,Marshall Islands,2.5,2,2,2.2,3,3,2.5,2.8,3,2,3,2.5,3,2.7,3.5,2.5,3,2,2.5,2.7,3.5,2.6
MHL,2009,ADB_CPA,Marshall Islands,2,2,2,2,3,3,2.5,2.8,3,2.5,3,3,3,2.9,3.5,2.5,3,2,2.5,2.7,3.5,2.6
MHL,2010,ADB_CPA,Marshall Islands,2.5,2.5,3,2.7,3,3,2.5,2.8,3,2,3,3,2.5,2.7,3.5,2.5,3,2,2.5,2.7,3.5,2.7
MHL,2011,ADB_CPA,Marshall Islands,2.5,2.5,3,2.7,3.5,3,2.5,3,3,2,3,3,2.5,2.7,3.5,3,3,2,2.5,2.8,3.5,2.8
MHL,2012,ADB_CPA,Marshall Islands,2.5,2.5,3,2.7,3.5,3,2.5,3,3,2,2.5,3,2.5,2.6,3.5,3,3,2,2.5,2.8,3.5,2.8
MHL,2013,ADB_CPA,Marshall Islands,3,2.5,3,2.8,3,3,2.5,2.8,3,2,3,3,4,3,4,3,3,2.5,3.5,3.2,3.5,3
MHL,2014,ADB_CPA,Marshall Islands,3,2.5,2.5,2.7,3,3,2.5,2.8,3,2.5,3,3,3.5,3,4,3,3,2.5,3,3.1,4,2.9
MHL,2015,ADB_CPA,Marshall Islands,3,2.5,2.5,2.7,3,3,2.5,2.8,3,2.5,3,3,3.5,3,4,3,3,2.5,3,3.1,4,2.9
MHL,2016,ADB_CPA,Marshall Islands,3,2.5,2,2.5,3.5,3,2.5,3,3,2.5,3,3,3.5,3,4,3,3,2.5,2.5,3,4,2.9
MHL,2017,ADB_CPA,Marshall Islands,,,,,,,,,,,,,,,,,,,,,,
MHL,2018,ADB_CPA,Marshall Islands,3,2.5,2,2.5,3.5,3,2.5,3,3,2.5,3,3,3,2.9,4,3,2.5,2.5,2.5,2.9,2.5,2.8
MHL,2019,ADB_CPA,Marshall Islands,,,,,,,,,,,,,,,,,,,,,,
MHL,2020,ADB_CPA,Marshall Islands,3,2.5,2,2.5,3.5,3,2.5,3,3,2,3,3,3.5,2.9,4,3,2.5,2,2.5,2.8,3.5,2.8
MMR,2006,ADB_CPA,Myanmar,,,,,,,,,,,,,,,,,,,,,,
MMR,2007,ADB_CPA,Myanmar,,,,,,,,,,,,,,,,,,,,,,
MMR,2008,ADB_CPA,Myanmar,,,,,,,,,,,,,,,,,,,,,,
MMR,2009,ADB_CPA,Myanmar,,,,,,,,,,,,,,,,,,,,,,
MMR,2010,ADB_CPA,Myanmar,,,,,,,,,,,,,,,,,,,,,,
MMR,2011,ADB_CPA,Myanmar,,,,,,,,,,,,,,,,,,,,,,
MMR,2012,ADB_CPA,Myanmar,,,,,,,,,,,,,,,,,,,,,,
MMR,2013,ADB_CPA,Myanmar,,,,,,,,,,,,,,,,,,,,,,
MMR,2014,ADB_CPA,Myanmar,3.5,3.5,4,3.7,3,2.5,2.5,2.7,3.5,3.5,3.5,3,2.5,3.2,3,3,3,3,3,3,4,3.1
MMR,2015,ADB_CPA,Myanmar,3.5,3.5,4,3.7,3,2.5,2.5,2.7,3.5,3.5,3.5,3,2.5,3.2,3,3,3,3,3,3,4,3.1
MMR,2016,ADB_CPA,Myanmar,3.5,3.5,4.5,3.8,3.5,3,2.5,3,4,4,3.5,3,2.5,3.4,3,3,3,3,3,3,2.5,3.3
MMR,2017,ADB_CPA,Myanmar,,,,,,,,,,,,,,,,,,,,,,
MMR,2018,ADB_CPA,Myanmar,3,3.5,4.5,3.7,4,3,3,3.3,4,4,4,3,2.5,3.5,3,3,3,3,3,3,4,3.4
MMR,2019,ADB_CPA,Myanmar,,,,,,,,,,,,,,,,,,,,,,
MMR,2020,ADB_CPA,Myanmar,3.5,3.5,4.5,3.8,4,3,3,3.3,4,4,4,3.5,2.5,3.6,3,3,3,3,3,3,2.5,3.4
MNG,2006,ADB_CPA,Mongolia,4,4,3.5,3.8,4.5,3.5,4,4,3.5,3.5,3.5,3.5,2.5,3.3,3.5,3.5,4,3.5,3.5,3.6,6,3.7
MNG,2007,ADB_CPA,Mongolia,4.5,4.5,4,4.3,4.5,3.5,4,4,3.5,4,4,3.5,3,3.6,3.5,4,4,3.5,3.5,3.7,4,3.9
MNG,2008,ADB_CPA,Mongolia,4.5,4,4,4.2,4.5,3.5,4,4,3.5,4.5,4,4,3,3.8,3.5,4,4.5,3.5,3.5,3.8,4,3.9
MNG,2009,ADB_CPA,Mongolia,3.5,3.5,4,3.7,4.5,3,4,3.8,3.5,4,4,4,3,3.7,3.5,4,4.5,3.5,3.5,3.8,4.5,3.8
MNG,2010,ADB_CPA,Mongolia,4,3.5,4,3.8,4.5,3.5,4.5,4.2,4,4,4,4,3,3.8,4,4,4.5,3.5,3.5,3.9,3,3.9
MNG,2011,ADB_CPA,Mongolia,4,3.5,4,3.8,4.5,3.5,4.5,4.2,4,4,4,4,3,3.8,4,4,4.5,3.5,3.5,3.9,3,3.9
MNG,2012,ADB_CPA,Mongolia,4,3.5,4,3.8,4.5,3.5,4.5,4.2,4,4,4,4,3,3.8,4,4,4.5,4,3.5,4,3.5,4
MNG,2013,ADB_CPA,Mongolia,3.5,3.5,4,3.7,4.5,3.5,4.5,4.2,4.5,4,4.5,4.5,3,4.1,4,4,4.5,4,4,4.1,3.5,4
MNG,2014,ADB_CPA,Mongolia,3,3,4,3.3,4.5,3.5,4.5,4.2,4.5,4,4.5,4.5,3.5,4.2,4,4,4.5,4,4,4.1,3.5,4
MNG,2015,ADB_CPA,Mongolia,3,2.5,3.5,3,4.5,3.5,4.5,4.2,4.5,4,4.5,4.5,3,4.1,4,4,4.5,4,4,4.1,3.5,3.8
MNG,2016,ADB_CPA,Mongolia,3,2.5,3,2.8,4,3.5,4.5,4,4.5,4,5,4.5,3,4.2,4,3.5,4.5,4,3.5,3.9,4,3.7
MNG,2017,ADB_CPA,Mongolia,,,,,,,,,,,,,,,,,,,,,,
MNG,2018,ADB_CPA,Mongolia,4,3.5,3.5,3.7,4.5,3.5,4,4,4.5,4,5,4.5,3,4.2,4,3.5,4.5,4,3.5,3.9,3,3.9
MNG,2019,ADB_CPA,Mongolia,,,,,,,,,,,,,,,,,,,,,,
MNG,2020,ADB_CPA,Mongolia,4,4,4,4,4.5,3.5,4.5,4.2,4.5,4.5,5,4.5,3.5,4.4,4,3.5,4.5,4,3.5,3.9,3.5,4.1
NPL,2006,ADB_CPA,Nepal,4,3.5,3.5,3.7,4,3,3.5,3.5,3.5,4,3.5,3.5,3,3.4,3,3.5,4,3,3,3.3,3,3.5
NPL,2007,ADB_CPA,Nepal,4,3.5,3.5,3.7,4.5,3,3.5,3.7,3.5,4,3.5,3.5,3.5,3.6,3.5,4,4,3.5,3.5,3.7,3,3.7
NPL,2008,ADB_CPA,Nepal,4,4,3.5,3.8,4.5,3.5,3.5,3.8,4,4,3.5,3,4,3.7,3.5,4,4,3.5,3.5,3.7,3.5,3.8
NPL,2009,ADB_CPA,Nepal,4.5,4.5,4,4.3,4.5,4,3.5,4,4,4,4,3.5,4.5,4,3.5,4,4.5,3.5,3.5,3.8,3.5,4
NPL,2010,ADB_CPA,Nepal,4,4,4,4,4.5,4,3.5,4,4,4.5,4,4,4.5,4.2,3,4,5,3.5,3.5,3.8,3.5,4
NPL,2011,ADB_CPA,Nepal,4.5,4,4,4.2,4.5,4,3.5,4,4,5,4,4,4.5,4.3,3,4.5,5,3.5,3.5,3.9,4,4.1
NPL,2012,ADB_CPA,Nepal,4.5,4,4.5,4.3,4.5,4,3.5,4,4.5,5,4,4.5,4.5,4.5,3,4,5,3.5,3.5,3.8,3,4.2
NPL,2013,ADB_CPA,Nepal,4.5,3.5,4,4,4.5,4,3.5,4,4,4,4,4,4.5,4.1,3,4,5,3.5,3.5,3.8,3,4
NPL,2014,ADB_CPA,Nepal,4.5,3.5,4,4,4.5,4,4,4.2,4,4,4.5,4,4,4.1,3.5,4,5,3.5,3.5,3.9,4.5,4
NPL,2015,ADB_CPA,Nepal,4.5,3.5,4,4,4.5,4,4,4.2,4,4,4.5,4,4,4.1,3.5,4,5,3.5,3.5,3.9,4,4
NPL,2016,ADB_CPA,Nepal,4.5,3.5,4,4,4,4,4,4,4,4,4.5,4,3.5,4,3.5,4,5,3.5,3.5,3.9,4.5,4
NPL,2017,ADB_CPA,Nepal,,,,,,,,,,,,,,,,,,,,,,
NPL,2018,ADB_CPA,Nepal,4.5,3.5,4.5,4.2,4,4,4,4,4,4,4.5,4,3.5,4,3.5,4,5,3.5,3.5,3.9,4.5,4
NPL,2019,ADB_CPA,Nepal,,,,,,,,,,,,,,,,,,,,,,
NPL,2020,ADB_CPA,Nepal,4.5,3.5,4.5,4.2,4.5,4,4,4.2,4,4,4.5,4,4,4.1,3.5,4,5,3.5,3.5,3.9,4,4.1
NRU,2006,ADB_CPA,Nauru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NRU,2007,ADB_CPA,Nauru,3,2,1,2,4,1,2,2.3,3,2.5,2.5,2.5,1,2.3,2.5,3.5,3,3,3,3,3.5,2.4
NRU,2008,ADB_CPA,Nauru,3,2.5,1.5,2.3,4,1,2,2.3,3,3,2.5,3.5,2,2.8,2.5,4,3,3,3,3.1,3.5,2.6
NRU,2009,ADB_CPA,Nauru,3,2.5,1.5,2.3,4,1,2,2.3,3,3.5,2.5,3,3,3,2.5,4,3,3,3,3.1,3.5,2.7
NRU,2010,ADB_CPA,Nauru,3,2.5,1.5,2.3,4,1,2,2.3,3,3.5,3,3.5,2.5,3.1,2.5,4,3,3,3.5,3.2,3.5,2.7
NRU,2011,ADB_CPA,Nauru,3,2.5,1.5,2.3,4,1,2,2.3,3,3.5,3,3.5,2.5,3.1,2.5,4,3,3,3.5,3.2,3.5,2.7
NRU,2012,ADB_CPA,Nauru,3,2.5,2,2.5,4,1,2,2.3,3.5,3.5,3,3.5,2.5,3.2,2.5,4,3,3,3.5,3.2,3.5,2.8
NRU,2013,ADB_CPA,Nauru,3,3.5,2,2.8,3.5,1,2,2.2,3.5,2.5,3,3.5,2.5,3,2.5,4,3,3,3,3.1,3.5,2.8
NRU,2014,ADB_CPA,Nauru,3,3,2,2.7,3.5,1,2,2.2,3,3,3,3.5,2.5,3,2.5,4,3,3,3,3.1,4,2.7
NRU,2015,ADB_CPA,Nauru,3,3,2,2.7,3.5,1,2,2.2,3,3,3,3.5,2.5,3,2.5,4,3,3,3,3.1,4,2.7
NRU,2016,ADB_CPA,Nauru,3,3,1.5,2.5,3.5,1,2,2.2,3,3,3.5,3.5,1.5,2.9,2.5,3.5,3,2.5,2.5,2.8,2.5,2.6
NRU,2017,ADB_CPA,Nauru,,,,,,,,,,,,,,,,,,,,,,
NRU,2018,ADB_CPA,Nauru,3,3,1.5,2.5,3.5,1,2,2.2,3,3,3,3.5,1.5,2.8,2.5,3.5,3,2.5,2.5,2.8,4.5,2.6
NRU,2019,ADB_CPA,Nauru,,,,,,,,,,,,,,,,,,,,,,
NRU,2020,ADB_CPA,Nauru,3,3,1.5,2.5,3.5,1.5,2,2.3,3,3,3,3.5,2,2.9,2.5,3.5,3,2.5,2.5,2.8,4.5,2.6
PAK,2006,ADB_CPA,Pakistan,4,3.5,4.5,4,4,4.5,4,4.2,2.5,3.5,3.5,3,3.5,3.2,3,4,4,3.5,2.5,3.4,4.5,3.7
PAK,2007,ADB_CPA,Pakistan,4,3.5,4.5,4,4,4.5,4,4.2,3,3.5,3.5,3,3.5,3.3,3,4,3.5,3.5,3,3.4,3.5,3.7
PAK,2008,ADB_CPA,Pakistan,4.5,3.5,4.5,4.2,4,4.5,4,4.2,3,3.5,3,3,4,3.3,3,4,3.5,3.5,3,3.4,3.5,3.8
PAK,2009,ADB_CPA,Pakistan,4.5,3.5,4.5,4.2,4,4,4,4,3,4,3,3,4,3.4,3,4,3.5,3.5,3,3.4,3,3.7
PAK,2010,ADB_CPA,Pakistan,4.5,3.5,4.5,4.2,3.5,4.5,4,4,2.5,4,3,3,4,3.3,3,4.5,3.5,3.5,3.5,3.6,3,3.8
PAK,2011,ADB_CPA,Pakistan,4.5,3.5,4.5,4.2,3.5,4.5,4,4,2.5,4,3,3.5,4,3.4,3,4.5,3.5,3.5,3.5,3.6,3.5,3.8
PAK,2012,ADB_CPA,Pakistan,4,3.5,4,3.8,3.5,4,4,3.8,2.5,4,3,3.5,4,3.4,3,4.5,3.5,3.5,3.5,3.6,3,3.7
PAK,2013,ADB_CPA,Pakistan,3.5,3.5,4,3.7,4,4,4,4,2.5,4,3,3.5,4,3.4,3,4.5,3.5,3.5,3.5,3.6,3,3.7
PAK,2014,ADB_CPA,Pakistan,4,4,4,4,4,4,4,4,2.5,4,3.5,3.5,3.5,3.4,3,4.5,3.5,3.5,3.5,3.6,4,3.8
PAK,2015,ADB_CPA,Pakistan,4,4,4,4,4,4,4,4,2.5,4,3.5,3.5,3.5,3.4,3,4.5,3.5,3.5,3.5,3.6,4.5,3.8
PAK,2016,ADB_CPA,Pakistan,4,3.5,4.5,4,4,4,4,4,2.5,4,3.5,3.5,3.5,3.4,3,4.5,3.5,3.5,3.5,3.6,3.5,3.8
PAK,2017,ADB_CPA,Pakistan,,,,,,,,,,,,,,,,,,,,,,
PAK,2018,ADB_CPA,Pakistan,3,2.5,4.5,3.3,4,4,4,4,3,4,3.5,3.5,3,3.4,3.5,4.5,3.5,3,3.5,3.6,3,3.6
PAK,2019,ADB_CPA,Pakistan,,,,,,,,,,,,,,,,,,,,,,
PAK,2020,ADB_CPA,Pakistan,3.5,3,4,3.5,4.5,4,4,4.2,3.5,4,4,3.5,3.5,3.7,3.5,4,3.5,3.5,3.5,3.6,3,3.7
PLW,2006,ADB_CPA,Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLW,2007,ADB_CPA,Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLW,2008,ADB_CPA,Palau,3,2,3.5,2.8,4,3,2.5,3.2,3.5,3.5,4,3.5,3,3.5,3.5,4,2.5,3,3,3.2,3.5,3.2
PLW,2009,ADB_CPA,Palau,3,2,3.5,2.8,4,2.5,2.5,3,3,3,4,3.5,3,3.3,3.5,4,2.5,3,3,3.2,3.5,3.1
PLW,2010,ADB_CPA,Palau,3,2,3.5,2.8,4,2.5,2.5,3,3,3,4,3.5,3,3.3,3.5,3.5,2.5,3,3,3.1,3.5,3.1
PLW,2011,ADB_CPA,Palau,3.5,2.5,4,3.3,4,3.5,2.5,3.3,3,3.5,4,4,4,3.7,4,3.5,3.5,3,3,3.4,3.5,3.4
PLW,2012,ADB_CPA,Palau,3.5,2.5,4,3.3,4,3.5,2.5,3.3,3,3.5,4,4,4,3.7,4,3.5,3.5,3,3,3.4,3.5,3.4
PLW,2013,ADB_CPA,Palau,3.5,2.5,4,3.3,4,3.5,2.5,3.3,3,3.5,4,4,4,3.7,4,3.5,3.5,3,3,3.4,3.5,3.4
PLW,2014,ADB_CPA,Palau,3.5,2.5,4,3.3,4,3.5,2.5,3.3,3,3,4.5,3.5,4,3.6,4,3.5,3.5,3,3,3.4,4,3.4
PLW,2015,ADB_CPA,Palau,3.5,2.5,4,3.3,4,3.5,2.5,3.3,3,3,4.5,3.5,4,3.6,4,3.5,3.5,3,3,3.4,4,3.4
PLW,2016,ADB_CPA,Palau,3.5,2.5,3.5,3.2,4,3.5,2.5,3.3,3,2.5,4.5,3.5,4,3.5,4,3.5,3.5,3,2.5,3.3,4.5,3.3
PLW,2017,ADB_CPA,Palau,,,,,,,,,,,,,,,,,,,,,,
PLW,2018,ADB_CPA,Palau,3.5,2.5,3.5,3.2,4,3.5,2.5,3.3,3,2.5,4.5,3.5,3.5,3.4,4,3.5,3.5,3,2.5,3.3,4.5,3.3
PLW,2019,ADB_CPA,Palau,,,,,,,,,,,,,,,,,,,,,,
PLW,2020,ADB_CPA,Palau,3.5,2,3,2.8,4,3.5,2.5,3.3,3,2.5,4.5,3.5,4,3.5,4,3.5,3.5,2.5,2.5,3.2,4.5,3.2
PNG,2006,ADB_CPA,Papua New Guinea,3,3.5,4.5,3.7,3.5,2.5,2.5,2.8,2,3,2,2.5,2.5,2.4,1.5,3,3.5,2.5,3,2.7,4.5,2.9
PNG,2007,ADB_CPA,Papua New Guinea,4,3.5,4.5,4,3.5,3,2.5,3,2.5,3,2.5,3,1.5,2.5,3,3.5,4,2.5,3,3.2,3.5,3.2
PNG,2008,ADB_CPA,Papua New Guinea,4,3.5,4,3.8,3.5,3,2.5,3,2.5,3,2.5,2.5,1.5,2.4,3,3.5,4,2.5,3,3.2,3.5,3.1
PNG,2009,ADB_CPA,Papua New Guinea,4,3.5,4,3.8,4,3,3,3.3,2.5,3.5,2.5,3,2,2.7,3,3.5,4,2.5,3,3.2,4,3.3
PNG,2010,ADB_CPA,Papua New Guinea,4,3,4,3.7,4,3,3,3.3,2.5,3.5,2.5,3,2,2.7,3,3.5,4,2.5,3,3.2,4,3.2
PNG,2011,ADB_CPA,Papua New Guinea,4,3.5,4.5,4,4.5,2.5,3,3.3,2.5,3.5,2.5,3,2.5,2.8,3,3.5,4,2.5,3,3.2,4,3.3
PNG,2012,ADB_CPA,Papua New Guinea,4,3.5,4.5,4,4.5,3,3,3.5,2.5,3.5,2.5,3,2.5,2.8,2.5,3.5,4,2.5,3,3.1,2.5,3.4
