iso,year,data_source,country_name,A1,A2,A3,A_avg,B4,B5,B6,B_avg,C7,C8,C9,C10,C11,C_avg,D12,D13,D14,D15,D16,D_avg,portfolio,overall_rating
PNG,2013,ADB_CPA,Papua New Guinea,4,3.5,4.5,4,4.5,3.5,3,3.7,2.5,3.5,3,3,2.5,2.9,2.5,3.5,4,2,3,3,3.5,3.4
PNG,2014,ADB_CPA,Papua New Guinea,3.5,3,4.5,3.7,4.5,3.5,3,3.7,2,3.5,3,2.5,2.5,2.7,2.5,3.5,4,2,3,3,3.5,3.3
PNG,2015,ADB_CPA,Papua New Guinea,3.5,3,4.5,3.7,4.5,3.5,3,3.7,2,3.5,3,2.5,2.5,2.7,2.5,3.5,4,2,3,3,3.5,3.3
PNG,2016,ADB_CPA,Papua New Guinea,2.5,2.5,4,3,4,3.5,2.5,3.3,2,3,3,2.5,2,2.5,2,3,3.5,2,2.5,2.6,3.5,2.9
PNG,2017,ADB_CPA,Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,
PNG,2018,ADB_CPA,Papua New Guinea,2,2.5,3.5,2.7,4,3.5,2.5,3.3,2,3,3,2.5,2,2.5,2,3,3.5,2,2,2.5,3,2.8
PNG,2019,ADB_CPA,Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,
PNG,2020,ADB_CPA,Papua New Guinea,2,2.5,3,2.5,4,3.5,2.5,3.3,2,3,3,2.5,2.5,2.6,2,3,3.5,2.5,2.5,2.7,3,2.8
SLB,2006,ADB_CPA,Solomon Islands,4,3.5,3,3.5,3.5,3,2,2.8,2.5,3,2.5,2,2.5,2.5,2.5,3,3,2.5,3,2.8,4.5,2.9
SLB,2007,ADB_CPA,Solomon Islands,4,3.5,3,3.5,4,3.5,2.5,3.3,2.5,3,2.5,2.5,2.5,2.6,2.5,3.5,3,2.5,3,2.9,3.5,3.1
SLB,2008,ADB_CPA,Solomon Islands,3.5,3.5,3,3.3,4,3.5,2.5,3.3,2.5,3,2.5,2.5,2.5,2.6,3,3.5,3,2.5,3,3,3.5,3.1
SLB,2009,ADB_CPA,Solomon Islands,3.5,3,4,3.5,4,3.5,2.5,3.3,3,3.5,2.5,2.5,3,2.9,3,3.5,3,2.5,3,3,3.5,3.2
SLB,2010,ADB_CPA,Solomon Islands,3.5,3,4,3.5,4,3.5,3,3.5,3,3.5,3,2.5,2.5,2.9,3.5,3.5,3,2.5,3,3.1,3,3.3
SLB,2011,ADB_CPA,Solomon Islands,3.5,3.5,4,3.7,4,3.5,3,3.5,3,3.5,3,2.5,2.5,2.9,3.5,3.5,3,2.5,3,3.1,3.5,3.3
SLB,2012,ADB_CPA,Solomon Islands,3.5,3.5,4.5,3.8,4,3.5,3.5,3.7,3,3.5,3,2.5,2.5,2.9,3.5,3.5,3,2.5,3,3.1,4.5,3.4
SLB,2013,ADB_CPA,Solomon Islands,3.5,3.5,4.5,3.8,3.5,3.5,3.5,3.5,3,3,3,2.5,2.5,2.8,3.5,3.5,3,2.5,3,3.1,4.5,3.3
SLB,2014,ADB_CPA,Solomon Islands,3.5,3.5,4.5,3.8,3.5,3.5,3.5,3.5,3,3,3,2.5,2.5,2.8,3.5,3.5,3,2.5,3,3.1,4.5,3.3
SLB,2015,ADB_CPA,Solomon Islands,3.5,3,4,3.5,3.5,3.5,3.5,3.5,3,3,3,2.5,2.5,2.8,3.5,3.5,3,2.5,3,3.1,4.5,3.2
SLB,2016,ADB_CPA,Solomon Islands,3.5,3,4,3.5,3.5,3.5,3.5,3.5,3,3,3,2.5,2.5,2.8,3.5,3.5,3,2.5,3,3.1,4.5,3.2
SLB,2017,ADB_CPA,Solomon Islands,,,,,,,,,,,,,,,,,,,,,,
SLB,2018,ADB_CPA,Solomon Islands,3.5,3,4,3.5,3.5,3.5,3.5,3.5,3,3,3.5,2.5,2,2.8,3.5,3,3,2.5,3,3,3,3.2
SLB,2019,ADB_CPA,Solomon Islands,,,,,,,,,,,,,,,,,,,,,,
SLB,2020,ADB_CPA,Solomon Islands,3.5,3,4,3.5,3.5,3.5,3.5,3.5,3,3,3.5,2.5,2,2.8,3.5,3,3,2.5,3,3,3.5,3.2
TJK,2006,ADB_CPA,Tajikistan,4.5,4,4.5,4.3,4,3,3,3.3,3.5,3.5,3,3.5,3,3.3,3,3,3.5,3,2,2.9,5,3.5
TJK,2007,ADB_CPA,Tajikistan,4,4.5,4,4.2,4,3,3,3.3,3.5,3.5,3,3.5,3.5,3.4,3,4,3,3,2.5,3.1,4,3.5
TJK,2008,ADB_CPA,Tajikistan,4,4,3.5,3.8,4,3.5,3,3.5,3.5,3.5,3.5,3.5,3,3.4,3,4,3,3,2.5,3.1,4,3.5
TJK,2009,ADB_CPA,Tajikistan,4,4,3.5,3.8,4,3.5,3,3.5,3.5,3.5,3.5,3.5,2.5,3.3,3,4,3,3,2.5,3.1,3.5,3.4
TJK,2010,ADB_CPA,Tajikistan,4,4,4,4,4,3.5,3.5,3.7,3.5,3.5,3.5,3.5,3,3.4,3.5,4,3.5,3.5,3,3.5,4.5,3.6
TJK,2011,ADB_CPA,Tajikistan,4,4,4,4,4,3.5,4,3.8,3.5,3.5,3.5,3.5,3,3.4,3.5,4,3.5,3.5,3,3.5,4.5,3.7
TJK,2012,ADB_CPA,Tajikistan,4,4,4,4,4,3.5,4,3.8,3.5,4,3.5,3.5,3,3.5,3.5,4,3.5,3.5,3,3.5,4,3.7
TJK,2013,ADB_CPA,Tajikistan,4,4,4,4,4,3.5,4,3.8,3.5,4,3.5,4,3,3.6,3.5,4,4,3.5,3,3.6,4.5,3.8
TJK,2014,ADB_CPA,Tajikistan,4,4,4,4,4,3.5,4,3.8,4,4,3.5,4,3,3.7,3.5,4,4,3.5,3,3.6,4,3.8
TJK,2015,ADB_CPA,Tajikistan,4,4,4,4,4,3.5,4,3.8,4,4,3.5,4,3,3.7,3.5,4,4,3.5,3,3.6,4,3.8
TJK,2016,ADB_CPA,Tajikistan,3.5,4,4,3.8,4,3.5,4,3.8,4,3.5,3.5,4,3,3.6,3.5,4,4,3.5,2.5,3.5,4.5,3.7
TJK,2017,ADB_CPA,Tajikistan,,,,,,,,,,,,,,,,,,,,,,
TJK,2018,ADB_CPA,Tajikistan,4,3.5,3.5,3.7,4,2.5,4,3.5,4,3.5,4,4,3,3.7,3.5,4,4,3.5,2.5,3.5,4.5,3.6
TJK,2019,ADB_CPA,Tajikistan,,,,,,,,,,,,,,,,,,,,,,
TJK,2020,ADB_CPA,Tajikistan,4,3.5,3.5,3.7,4.5,2.5,4,3.7,4,3.5,4,4,3,3.7,3.5,4,4.5,3.5,2.5,3.6,4.5,3.7
TLS,2006,ADB_CPA,Timor-Leste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TLS,2007,ADB_CPA,Timor-Leste,4,3.5,5.5,4.3,3.5,2.5,1.5,2.5,2.5,4,2.5,1.5,2,2.5,2,3,3,3,3,2.8,3.5,3
TLS,2008,ADB_CPA,Timor-Leste,3.5,3,4,3.5,3.5,2,1.5,2.3,2.5,3.5,2.5,3,2,2.7,1.5,3,3,2.5,2,2.4,3.5,2.7
TLS,2009,ADB_CPA,Timor-Leste,3.5,3,4,3.5,4.5,2.5,1.5,2.8,3,4,3,2.5,2.5,3,1.5,3,3,2.5,2.5,2.5,3.5,3
TLS,2010,ADB_CPA,Timor-Leste,3,3.5,3.5,3.3,4.5,2.5,2,3,3,3,2.5,3,2.5,2.8,2,3,3,2.5,2.5,2.6,3.5,2.9
TLS,2011,ADB_CPA,Timor-Leste,3.5,4,4,3.8,4.5,2.5,2.5,3.2,3.5,3,3,3,2.5,3,3,3,4,3,3,3.2,3.5,3.3
TLS,2012,ADB_CPA,Timor-Leste,3.5,4,4.5,4,4.5,2.5,2.5,3.2,3.5,3.5,3,3,2.5,3.1,3,3,4,3,3,3.2,3.5,3.4
TLS,2013,ADB_CPA,Timor-Leste,3.5,4,4.5,4,4.5,2.5,2.5,3.2,3.5,3,3,3,2.5,3,2.5,3,4,3,3,3.1,3,3.3
TLS,2014,ADB_CPA,Timor-Leste,3.5,4,4.5,4,4.5,2.5,2.5,3.2,3.5,3.5,3,3,2.5,3.1,3,3.5,4,3,3,3.3,4.5,3.4
TLS,2015,ADB_CPA,Timor-Leste,3.5,4,4.5,4,4.5,2.5,2.5,3.2,3.5,3.5,3,3,2.5,3.1,3,3.5,4,3,3,3.3,4.5,3.4
TLS,2016,ADB_CPA,Timor-Leste,4,4,4,4,4.5,3,2.5,3.3,3,3.5,3,3.5,3,3.2,3,3.5,4,3,3,3.3,4,3.5
TLS,2017,ADB_CPA,Timor-Leste,,,,,,,,,,,,,,,,,,,,,,
TLS,2018,ADB_CPA,Timor-Leste,3.5,3.5,3.5,3.5,4.5,3,2.5,3.3,3.5,3.5,3.5,3.5,2.5,3.3,2.5,3.5,3.5,3,3,3.1,4,3.3
TLS,2019,ADB_CPA,Timor-Leste,,,,,,,,,,,,,,,,,,,,,,
TLS,2020,ADB_CPA,Timor-Leste,3.5,3,3.5,3.3,4.5,3,2.5,3.3,3.5,3.5,3.5,3.5,2.5,3.3,2.5,3.5,3.5,3,3,3.1,3.5,3.3
TON,2006,ADB_CPA,Tonga,3,3,4,3.3,2,4.5,3,3.2,3.5,4,4.5,2.5,3.5,3.6,4,3,3,3.5,2,3.1,4.5,3.3
TON,2007,ADB_CPA,Tonga,3,4,3,3.3,2,4,3,3,3.5,3,4,3,3,3.3,3,4,4,3.5,3,3.5,3.5,3.3
TON,2008,ADB_CPA,Tonga,3,3.5,3,3.2,3,4,3,3.3,3,3,4,2.5,3,3.1,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.3
TON,2009,ADB_CPA,Tonga,3,3.5,3,3.2,4,4,3.5,3.8,3,3.5,3.5,2.5,3,3.1,4,3.5,4.5,4,3.5,3.9,3.5,3.5
TON,2010,ADB_CPA,Tonga,3,3,3,3,4,3,3.5,3.5,3.5,4,3.5,2.5,3,3.3,3.5,4,4.5,4,3.5,3.9,3,3.4
TON,2011,ADB_CPA,Tonga,3,3,3,3,4,3,3.5,3.5,3.5,4,3.5,2.5,3,3.3,3.5,4,4.5,4,3.5,3.9,3.5,3.4
TON,2012,ADB_CPA,Tonga,3.5,3.5,3,3.3,4.5,3.5,3,3.7,3,4,4,3,4,3.6,3.5,4,4.5,4,3.5,3.9,3.5,3.6
TON,2013,ADB_CPA,Tonga,3.5,3.5,3,3.3,4.5,3.5,3,3.7,3,4,4,3,4,3.6,3.5,4,4.5,4,3.5,3.9,3.5,3.6
TON,2014,ADB_CPA,Tonga,3.5,3.5,3,3.3,4.5,3.5,3,3.7,3,4,4,3,4,3.6,3.5,4,4.5,3.5,3.5,3.8,3.5,3.6
TON,2015,ADB_CPA,Tonga,3.5,3.5,3,3.3,4.5,3.5,3,3.7,3,4,4,3,4,3.6,3.5,4,4.5,3.5,3.5,3.8,4.5,3.6
TON,2016,ADB_CPA,Tonga,3.5,3.5,3,3.3,4.5,3.5,3,3.7,3,4,4,3,4,3.6,3.5,4,4.5,3.5,3.5,3.8,4.5,3.6
TON,2017,ADB_CPA,Tonga,,,,,,,,,,,,,,,,,,,,,,
TON,2018,ADB_CPA,Tonga,4,3.5,3,3.5,4.5,3.5,3,3.7,2.5,4,4,3,3.5,3.4,3.5,3.5,4.5,3,3.5,3.6,4,3.5
TON,2019,ADB_CPA,Tonga,,,,,,,,,,,,,,,,,,,,,,
TON,2020,ADB_CPA,Tonga,4,3.5,3.5,3.7,4.5,3.5,3.5,3.8,2.5,4,4,3.5,4,3.6,3.5,3,4.5,3,3.5,3.5,4,3.7
TUV,2006,ADB_CPA,Tuvalu,3.5,3,3.5,3.3,3,2.5,2.5,2.7,3.5,4,4,3.5,3,3.6,4.5,3,3,3,3.5,3.4,4,3.3
TUV,2007,ADB_CPA,Tuvalu,3.5,3.5,3,3.3,2.5,2.5,2.5,2.5,3.5,3.5,4,3,3,3.4,4,3,2.5,3,3,3.1,4,3.1
TUV,2008,ADB_CPA,Tuvalu,3.5,3.5,3,3.3,2.5,2.5,2.5,2.5,3.5,3.5,4,3,3,3.4,4,3,2.5,3,3,3.1,3.5,3.1
TUV,2009,ADB_CPA,Tuvalu,3.5,3,3,3.2,3.5,2.5,2.5,2.8,3,3.5,3.5,3,3,3.2,4,3,3,3,3,3.2,4.5,3.1
TUV,2010,ADB_CPA,Tuvalu,3.5,3,1.5,2.7,3,2,2.5,2.5,3,3.5,4,3,3,3.3,4,3,3,3.5,3,3.3,2.5,2.9
TUV,2011,ADB_CPA,Tuvalu,3.5,3,1.5,2.7,3,2,2.5,2.5,3,3.5,4,2.5,3,3.2,4,3,3,3.5,3,3.3,2.5,2.9
TUV,2012,ADB_CPA,Tuvalu,3.5,3,2,2.8,3.5,2.5,2.5,2.8,3,3.5,4,3.5,3,3.4,4,2.5,3,3.5,3,3.2,3.5,3.1
TUV,2013,ADB_CPA,Tuvalu,3.5,3,2,2.8,3,2.5,2.5,2.7,3,3.5,4,3.5,3.5,3.5,4,3,3,3,3,3.2,3.5,3.1
TUV,2014,ADB_CPA,Tuvalu,3.5,3,2,2.8,3,2.5,2.5,2.7,3,3,4,3,3,3.2,4,3,3,3,3,3.2,4,3
TUV,2015,ADB_CPA,Tuvalu,3.5,3,2,2.8,3,2.5,2.5,2.7,3,3,4,3,3,3.2,4,3,3,3,3,3.2,4,3
TUV,2016,ADB_CPA,Tuvalu,3.5,3,2,2.8,3.5,2.5,2.5,2.8,3,3,4,3,3,3.2,4,3.5,3,2.5,3,3.2,4,3
TUV,2017,ADB_CPA,Tuvalu,,,,,,,,,,,,,,,,,,,,,,
TUV,2018,ADB_CPA,Tuvalu,3.5,3,2,2.8,3.5,2.5,2.5,2.8,3,3,4,3,3,3.2,4,3.5,3,2.5,3,3.2,4.5,3
TUV,2019,ADB_CPA,Tuvalu,,,,,,,,,,,,,,,,,,,,,,
TUV,2020,ADB_CPA,Tuvalu,3.5,3,2,2.8,3.5,2.5,2.5,2.8,3,3,4,3,3,3.2,3.5,3.5,3,2.5,3,3.1,3,3
UZB,2006,ADB_CPA,Uzbekistan,3.5,3.5,4,3.7,2.5,2.5,2.5,2.5,3.5,3.5,4,3,3.5,3.5,2.5,3,3,2.5,1.5,2.5,2.5,3
UZB,2007,ADB_CPA,Uzbekistan,4,4,4.5,4.2,2.5,3,3,2.8,3.5,4,4,3.5,3.5,3.7,2.5,3,3,2.5,1.5,2.5,2.5,3.3
UZB,2008,ADB_CPA,Uzbekistan,4.5,4.5,4.5,4.5,3.5,3,3.5,3.3,4,4,4,4,4.5,4.1,3.5,4,4,2.5,2.5,3.3,3,3.8
UZB,2009,ADB_CPA,Uzbekistan,4.5,4.5,4.5,4.5,3.5,3,3.5,3.3,4,4,4,4,4,4,3.5,4,4,2.5,2.5,3.3,3,3.8
UZB,2010,ADB_CPA,Uzbekistan,4.5,4.5,4.5,4.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4,3.5,4,4,3,2.5,3.4,3.5,3.9
UZB,2011,ADB_CPA,Uzbekistan,4.5,5,5,4.8,3.5,3.5,3.5,3.5,4,4,4,4,4,4,3.5,4.5,4,3,2.5,3.5,3.5,4
UZB,2012,ADB_CPA,Uzbekistan,5,5,5,5,3,4,4,3.7,4,4,4.5,4,4,4.1,4,4.5,4,3,2.5,3.6,3,4.1
UZB,2013,ADB_CPA,Uzbekistan,5,5,5,5,3,3.5,4,3.5,4,4.5,4.5,4.5,4,4.3,4,4.5,4,3,2.5,3.6,3,4.1
UZB,2014,ADB_CPA,Uzbekistan,5,5,5,5,3,4,4,3.7,4,4.5,5,4.5,4,4.4,4,5,4,3,2.5,3.7,4,4.2
UZB,2015,ADB_CPA,Uzbekistan,5,5,5,5,3,4,4,3.7,4,4.5,5,4.5,4,4.4,4,5,4,3,2.5,3.7,4.5,4.2
UZB,2016,ADB_CPA,Uzbekistan,5,5,5,5,3,4,4,3.7,4,4.5,5,4.5,4,4.4,4,5,4,3,3,3.8,4.5,4.2
UZB,2017,ADB_CPA,Uzbekistan,,,,,,,,,,,,,,,,,,,,,,
UZB,2018,ADB_CPA,Uzbekistan,4.5,5,5,4.8,3.5,4,4.5,4,4,4.5,5,4.5,3.5,4.3,4,4.5,4,3,3,3.7,3,4.2
UZB,2019,ADB_CPA,Uzbekistan,,,,,,,,,,,,,,,,,,,,,,
UZB,2020,ADB_CPA,Uzbekistan,5,5,5,5,3.5,4,4.5,4,4,4.5,4.5,4.5,4,4.3,4,5,4,3,3,3.8,3,4.3
VNM,2006,ADB_CPA,Vietnam,5,4,4.5,4.5,3.5,4,4,3.8,5,4.5,4,4,4,4.4,4,4,4,4,3.5,3.9,4.5,4.2
VNM,2007,ADB_CPA,Vietnam,5,4.5,4.5,4.7,3.5,4,4,3.8,5,4.5,4.5,4,4,4.4,4,4,4,4,4,4,3.5,4.2
VNM,2008,ADB_CPA,Vietnam,4.5,4.5,4.5,4.5,3.5,4,4,3.8,4.5,5,4,4,4,4.3,4,4,4,4,4,4,3.5,4.2
VNM,2009,ADB_CPA,Vietnam,4.5,4.5,4.5,4.5,3.5,4.5,3.5,3.8,4.5,5,4.5,4.5,4.5,4.6,4.5,4,4,4,4,4.1,3.5,4.3
VNM,2010,ADB_CPA,Vietnam,4.5,4.5,4.5,4.5,4,4.5,4,4.2,4.5,5,4.5,4.5,4.5,4.6,4.5,4.5,4,4,4,4.2,3.5,4.4
VNM,2011,ADB_CPA,Vietnam,4,4.5,4.5,4.3,4,4.5,4,4.2,5,5.5,4.5,4.5,4.5,4.8,4.5,4.5,4.5,4,4,4.3,3.5,4.4
VNM,2012,ADB_CPA,Vietnam,4.5,4.5,4.5,4.5,4,4.5,4,4.2,5,5.5,5,4.5,4.5,4.9,4.5,4.5,4.5,4.5,4,4.4,3,4.5
VNM,2013,ADB_CPA,Vietnam,4.5,4.5,4.5,4.5,4,4.5,4,4.2,5,5.5,5,4.5,4.5,4.9,4.5,4.5,4.5,4.5,4,4.4,3,4.5
VNM,2014,ADB_CPA,Vietnam,5,4.5,4.5,4.7,4.5,4.5,4,4.3,4.5,5.5,5,4.5,4,4.7,4.5,4.5,4.5,4.5,4,4.4,3.5,4.5
VNM,2015,ADB_CPA,Vietnam,5,4.5,4.5,4.7,4.5,4.5,4,4.3,4.5,5.5,5,4.5,4,4.7,4.5,4.5,4.5,4.5,4,4.4,4,4.5
VNM,2016,ADB_CPA,Vietnam,5,4.5,4,4.5,4.5,4.5,4,4.3,4.5,5.5,5,4.5,4,4.7,4.5,4.5,4.5,4.5,4,4.4,4,4.5
VNM,2017,ADB_CPA,Vietnam,,,,,,,,,,,,,,,,,,,,,,
VNM,2018,ADB_CPA,Vietnam,,,,,,,,,,,,,,,,,,,,,,
VNM,2019,ADB_CPA,Vietnam,,,,,,,,,,,,,,,,,,,,,,
VNM,2020,ADB_CPA,Vietnam,,,,,,,,,,,,,,,,,,,,,,
VUT,2006,ADB_CPA,Vanuatu,4,3.5,3.5,3.7,3,3,3,3,2.5,3,2.5,2.5,3,2.7,2.5,3,3,3,2.5,2.8,4.5,3
VUT,2007,ADB_CPA,Vanuatu,4,3.5,4,3.8,2.5,3,3,2.8,2.5,3,2.5,3,3,2.8,3,3.5,3,3,3,3.1,3.5,3.1
VUT,2008,ADB_CPA,Vanuatu,4,3.5,4,3.8,2.5,3.5,3,3,3,3,2.5,2.5,3,2.8,3,3.5,3,3.5,3,3.2,3.5,3.2
VUT,2009,ADB_CPA,Vanuatu,4,3.5,4,3.8,3,4,3,3.3,3,3,2.5,3,2.5,2.8,3.5,3,3,3,3,3.1,3.5,3.3
VUT,2010,ADB_CPA,Vanuatu,4,3.5,4,3.8,3,4,3,3.3,3,3,2.5,3,2.5,2.8,3.5,3.5,3,3.5,3,3.3,3.5,3.3
VUT,2011,ADB_CPA,Vanuatu,4,3.5,4,3.8,3,4,3,3.3,3,3,2.5,3,2.5,2.8,3.5,3.5,3,3.5,3,3.3,3.5,3.3
VUT,2012,ADB_CPA,Vanuatu,4,3.5,4,3.8,3,3.5,3,3.2,3,3,2.5,3,2.5,2.8,3,3.5,2.5,3.5,2.5,3,3.5,3.2
VUT,2013,ADB_CPA,Vanuatu,4,3,4.5,3.8,3.5,3.5,3,3.3,3,3,3,3,2.5,2.9,3,3.5,2.5,3.5,3,3.1,4.5,3.3
VUT,2014,ADB_CPA,Vanuatu,4,3,4.5,3.8,3.5,3.5,3,3.3,3,3,3,3,2.5,2.9,3,3.5,3,3.5,3,3.2,4.5,3.3
VUT,2015,ADB_CPA,Vanuatu,4,3,4.5,3.8,3.5,3.5,3,3.3,3,3,3,3,2.5,2.9,3,3.5,3,3.5,3,3.2,2.5,3.3
VUT,2016,ADB_CPA,Vanuatu,3.5,3,4,3.5,3.5,3.5,3,3.3,3,3,3,3,2.5,2.9,3,3.5,3,3.5,2.5,3.1,2.5,3.2
VUT,2017,ADB_CPA,Vanuatu,,,,,,,,,,,,,,,,,,,,,,
VUT,2018,ADB_CPA,Vanuatu,3,3,4,3.3,3.5,3.5,3,3.3,3,3,3,3,2.5,2.9,3,3.5,3,3.5,3,3.2,3.5,3.2
VUT,2019,ADB_CPA,Vanuatu,,,,,,,,,,,,,,,,,,,,,,
VUT,2020,ADB_CPA,Vanuatu,3,3,4,3.3,3.5,3.5,3,3.3,3,3,3,3,2.5,2.9,3,3.5,3.5,3,3,3.2,2.5,3.2
WSM,2006,ADB_CPA,Samoa,4.5,4.5,4.5,4.5,4.5,4.5,3.5,4.2,4.5,4.5,5,4,4,4.4,4.5,4.5,4.5,4.5,4.5,4.5,3.5,4.4
WSM,2007,ADB_CPA,Samoa,4.5,4,4,4.2,4.5,4.5,3.5,4.2,4.5,4,4.5,3.5,3.5,4,4.5,4,4.5,4.5,4.5,4.4,4,4.2
WSM,2008,ADB_CPA,Samoa,4.5,4,4,4.2,4.5,4.5,3.5,4.2,4.5,4,4.5,3.5,3.5,4,4.5,4,4.5,4.5,4.5,4.4,3,4.2
WSM,2009,ADB_CPA,Samoa,3,3,3.5,3.2,4.5,4,3.5,4,3.5,4,4,3,3,3.5,4,3.5,4.5,4,4,4,3.5,3.7
WSM,2010,ADB_CPA,Samoa,3.5,3,3.5,3.3,5,4,3.5,4.2,3.5,4,4,3.5,4,3.8,4,3.5,4.5,4,4,4,3.5,3.8
WSM,2011,ADB_CPA,Samoa,3.5,3,3.5,3.3,5,4,3.5,4.2,3.5,4,4,3.5,4,3.8,4,3.5,4.5,4,4,4,4.5,3.8
WSM,2012,ADB_CPA,Samoa,4,3.5,3.5,3.7,5,4,3.5,4.2,3.5,4.5,4.5,3.5,4,4,4,3.5,4.5,4,4,4,3,4
WSM,2013,ADB_CPA,Samoa,4,3.5,3.5,3.7,5,4,3.5,4.2,3.5,4.5,4.5,3.5,4,4,4,3.5,4.5,4,4,4,2.5,4
WSM,2014,ADB_CPA,Samoa,3.5,4,3,3.5,5,4,3.5,4.2,3.5,4.5,4.5,3.5,3.5,3.9,4,3.5,4.5,4,4,4,3.5,3.9
WSM,2015,ADB_CPA,Samoa,3.5,4,3,3.5,5,4,3.5,4.2,3.5,4.5,4.5,3.5,3.5,3.9,4,3.5,4.5,4,4,4,4.5,3.9
WSM,2016,ADB_CPA,Samoa,3.5,4,3.5,3.7,4.5,3.5,3.5,3.8,3.5,4.5,4,3.5,3.5,3.8,4,3.5,4,4,3.5,3.8,4.5,3.8
WSM,2017,ADB_CPA,Samoa,,,,,,,,,,,,,,,,,,,,,,
WSM,2018,ADB_CPA,Samoa,3.5,4,3.5,3.7,4.5,3.5,3.5,3.8,3.5,4.5,4,3.5,3.5,3.8,4,3.5,4,4,3.5,3.8,3.5,3.8
WSM,2019,ADB_CPA,Samoa,,,,,,,,,,,,,,,,,,,,,,
WSM,2020,ADB_CPA,Samoa,3.5,4,3.5,3.7,4.5,3.5,3.5,3.8,3.5,4.5,4,3.5,4,3.9,4,3.5,4,4,3.5,3.8,3.5,3.8
