iso,country_name,year,conflict_stock_displacement,conflict_stock_displacement_raw,conflict_new_displacements,conflict_new_displacements_raw,disaster_new_displacements,disaster_new_displacements_raw,disaster_stock_displacement,disaster_stock_displacementr_raw,data_source
AFG,Afghanistan,2008,0,0,0,0,3400,3430,0,0,IDMC
AFG,Afghanistan,2009,297000,297000,0,0,28000,28435,0,0,IDMC
AFG,Afghanistan,2010,352000,352000,102000,102000,71000,71000,0,0,IDMC
AFG,Afghanistan,2011,450000,450000,186000,186000,3000,3000,0,0,IDMC
AFG,Afghanistan,2012,492000,492000,100000,100400,30000,29519,0,0,IDMC
AFG,Afghanistan,2013,631000,631000,124000,124000,15000,15170,0,0,IDMC
AFG,Afghanistan,2014,805000,805409,156000,156193,13000,13125,0,0,IDMC
AFG,Afghanistan,2015,1174000,1174306,335000,335409,71000,70948,0,0,IDMC
AFG,Afghanistan,2016,1553000,1552707,653000,652594,7400,7394,0,0,IDMC
AFG,Afghanistan,2017,1286000,1286483,474000,473892,27000,26871,0,0,IDMC
AFG,Afghanistan,2018,2598000,2597897,372000,371779,435000,435448,0,0,IDMC
AFG,Afghanistan,2019,2993000,2993384,461000,460692,117000,116558,1198000,1198000,IDMC
AFG,Afghanistan,2020,3547000,3546858,404000,404139,46000,45845,1117000,1117000,IDMC
ARM,Armenia,2009,8400,8400,0,0,0,0,0,0,IDMC
ARM,Armenia,2010,8400,8400,0,0,0,0,0,0,IDMC
ARM,Armenia,2011,8400,8400,0,0,0,0,0,0,IDMC
ARM,Armenia,2012,8400,8400,0,0,0,0,0,0,IDMC
ARM,Armenia,2013,8400,8400,0,0,0,0,0,0,IDMC
ARM,Armenia,2014,8400,8400,0,0,0,0,0,0,IDMC
ARM,Armenia,2015,8400,8400,0,0,0,0,0,0,IDMC
ARM,Armenia,2016,8400,8400,0,0,0,0,0,0,IDMC
ARM,Armenia,2017,0,0,0,0,0,0,0,0,IDMC
ARM,Armenia,2018,0,0,0,0,0,0,0,0,IDMC
ARM,Armenia,2020,800,800,800,800,0,0,2700,2700,IDMC
AUS,Australia,2008,0,0,0,0,1000,1000,0,0,IDMC
AUS,Australia,2009,0,0,0,0,7500,7500,0,0,IDMC
AUS,Australia,2010,0,0,0,0,1000,1000,0,0,IDMC
AUS,Australia,2011,0,0,0,0,10000,10000,0,0,IDMC
AUS,Australia,2012,0,0,0,0,16000,16000,0,0,IDMC
AUS,Australia,2013,0,0,0,0,13000,12734,0,0,IDMC
AUS,Australia,2014,0,0,0,0,1200,1166,0,0,IDMC
AUS,Australia,2015,0,0,0,0,5700,5713,0,0,IDMC
AUS,Australia,2016,0,0,0,0,3200,3234,0,0,IDMC
AUS,Australia,2017,0,0,0,0,31000,30939,0,0,IDMC
AUS,Australia,2018,0,0,0,0,11000,11255,0,0,IDMC
AUS,Australia,2019,0,0,0,0,25000,24841,15000,15000,IDMC
AUS,Australia,2020,0,0,0,0,51000,51433,5100,5100,IDMC
AZE,Azerbaijan,2009,586000,586013,0,0,200,200,0,0,IDMC
AZE,Azerbaijan,2010,593000,592860,0,0,32000,31665,0,0,IDMC
AZE,Azerbaijan,2011,599000,599192,0,0,0,0,0,0,IDMC
AZE,Azerbaijan,2012,600000,600336,0,0,36000,36000,0,0,IDMC
AZE,Azerbaijan,2013,543000,543400,0,0,0,0,0,0,IDMC
AZE,Azerbaijan,2014,569000,568892,0,0,0,0,0,0,IDMC
AZE,Azerbaijan,2015,564000,564220,0,0,0,0,0,0,IDMC
AZE,Azerbaijan,2016,582000,582307,0,0,0,0,0,0,IDMC
AZE,Azerbaijan,2017,643000,642982,0,0,0,0,0,0,IDMC
AZE,Azerbaijan,2018,644000,643625,0,0,390,390,0,0,IDMC
AZE,Azerbaijan,2019,651000,651458,0,0,140,136,100,100,IDMC
AZE,Azerbaijan,2020,735000,735455,84000,83997,0,0,0,0,IDMC
BGD,Bangladesh,2008,0,0,0,0,61000,61347,0,0,IDMC
BGD,Bangladesh,2009,426000,426490,5000,5000,1342000,1342000,0,0,IDMC
BGD,Bangladesh,2010,426000,426490,3500,3500,569000,569000,0,0,IDMC
BGD,Bangladesh,2011,426000,426490,600,600,400000,400000,0,0,IDMC
BGD,Bangladesh,2012,426000,426490,5000,5000,651000,650788,0,0,IDMC
BGD,Bangladesh,2013,426000,426490,0,0,1160000,1159829,0,0,IDMC
BGD,Bangladesh,2014,426000,426490,0,0,543000,543000,0,0,IDMC
BGD,Bangladesh,2015,426000,426438,0,0,531000,531099,0,0,IDMC
BGD,Bangladesh,2016,426000,426438,0,0,614000,613710,0,0,IDMC
BGD,Bangladesh,2017,432000,432000,6000,6000,946000,946119,0,0,IDMC
BGD,Bangladesh,2018,426000,426070,300,300,78000,77789,0,0,IDMC
BGD,Bangladesh,2019,427000,426561,520,520,4086000,4086203,88000,88000,IDMC
BGD,Bangladesh,2020,427000,426763,230,231,4443000,4443088,345000,345000,IDMC
BRN,Brunei Darussalam,2014,0,0,0,0,51,51,0,0,IDMC
BRN,Brunei Darussalam,2017,0,0,0,0,94,94,0,0,IDMC
BTN,Bhutan,2009,0,0,0,0,0,0,0,0,IDMC
BTN,Bhutan,2011,0,0,0,0,20000,20000,0,0,IDMC
BTN,Bhutan,2015,0,0,0,0,2900,2851,0,0,IDMC
BTN,Bhutan,2016,0,0,0,0,690,694,0,0,IDMC
BTN,Bhutan,2020,0,0,0,0,120,120,0,0,IDMC
CHN,China,2008,0,0,0,0,18660000,18659649,0,0,IDMC
CHN,China,2009,0,0,0,0,4031000,4030507,0,0,IDMC
CHN,China,2010,0,0,0,0,15920000,15920060,0,0,IDMC
CHN,China,2011,0,0,0,0,4490000,4489545,0,0,IDMC
CHN,China,2012,0,0,0,0,5731000,5730800,0,0,IDMC
CHN,China,2013,0,0,0,0,5924000,5924143,0,0,IDMC
CHN,China,2014,0,0,0,0,3612000,3611522,0,0,IDMC
CHN,China,2015,0,0,0,0,3602000,3602368,0,0,IDMC
CHN,China,2016,0,0,0,0,7434000,7434305,0,0,IDMC
CHN,China,2017,0,0,0,0,4473000,4473319,0,0,IDMC
CHN,China,2018,0,0,0,0,3762000,3762370,0,0,IDMC
CHN,China,2019,0,0,0,0,4034000,4033553,220000,220000,IDMC
CHN,China,2020,0,0,0,0,5074000,5074039,158000,158000,IDMC
COK,Cook Islands,2010,0,0,0,0,650,652,0,0,IDMC
COK,Cook Islands,2016,0,0,0,0,6,6,0,0,IDMC
FJI,Fiji,2009,0,0,0,0,13000,13245,0,0,IDMC
FJI,Fiji,2010,0,0,0,0,18000,18000,0,0,IDMC
FJI,Fiji,2011,0,0,0,0,0,0,0,0,IDMC
FJI,Fiji,2012,0,0,0,0,27000,27062,0,0,IDMC
FJI,Fiji,2014,0,0,0,0,800,800,0,0,IDMC
FJI,Fiji,2016,0,0,0,0,76000,76072,0,0,IDMC
FJI,Fiji,2017,0,0,0,0,370,374,0,0,IDMC
FJI,Fiji,2018,0,0,0,0,12000,12313,0,0,IDMC
FJI,Fiji,2019,0,0,0,0,5000,4999,600,600,IDMC
FJI,Fiji,2020,0,0,0,0,37000,36563,14000,14000,IDMC
FSM,Micronesia,2012,0,0,0,0,0,0,0,0,IDMC
FSM,Micronesia,2015,0,0,0,0,6800,6760,0,0,IDMC
GEO,Georgia,2009,240000,240000,0,0,0,0,0,0,IDMC
GEO,Georgia,2010,257000,257000,0,0,0,0,0,0,IDMC
GEO,Georgia,2011,270000,270000,0,0,0,0,0,0,IDMC
GEO,Georgia,2012,280000,279778,0,0,0,0,0,0,IDMC
GEO,Georgia,2013,207000,206600,0,0,1500,1525,0,0,IDMC
GEO,Georgia,2014,233000,232704,0,0,120,120,0,0,IDMC
GEO,Georgia,2015,239000,239191,0,0,1200,1234,0,0,IDMC
GEO,Georgia,2016,208000,207765,0,0,0,0,0,0,IDMC
GEO,Georgia,2017,289000,288765,0,0,0,0,0,0,IDMC
GEO,Georgia,2018,293000,293103,0,0,310,308,0,0,IDMC
GEO,Georgia,2019,301000,301216,0,0,0,0,0,0,IDMC
GEO,Georgia,2020,304000,303538,0,0,160,160,10,10,IDMC
HKG,"Hong Kong, China",2008,0,0,0,0,0,0,0,0,IDMC
HKG,"Hong Kong, China",2009,0,0,0,0,0,0,0,0,IDMC
HKG,"Hong Kong, China",2010,0,0,0,0,0,0,0,0,IDMC
HKG,"Hong Kong, China",2016,0,0,0,0,220,218,0,0,IDMC
HKG,"Hong Kong, China",2017,0,0,0,0,3300,3292,0,0,IDMC
HKG,"Hong Kong, China",2018,0,0,0,0,1400,1400,0,0,IDMC
HKG,"Hong Kong, China",2019,0,0,0,0,210,205,0,0,IDMC
HKG,"Hong Kong, China",2020,0,0,0,0,160,163,0,0,IDMC
IDN,Indonesia,2008,0,0,0,0,221000,221100,0,0,IDMC
IDN,Indonesia,2009,70000,70000,500,500,854000,853990,0,0,IDMC
IDN,Indonesia,2010,200000,200000,35000,35000,409000,409387,0,0,IDMC
IDN,Indonesia,2011,180000,180000,15000,15000,7400,7442,0,0,IDMC
IDN,Indonesia,2012,170000,170000,5000,5000,104000,103831,0,0,IDMC
IDN,Indonesia,2013,90000,90000,3000,3000,427000,427422,0,0,IDMC
IDN,Indonesia,2014,84000,84000,800,800,943000,943059,0,0,IDMC
IDN,Indonesia,2015,6100,6057,150,153,204000,203913,0,0,IDMC
IDN,Indonesia,2016,7100,7084,350,353,1246000,1246474,0,0,IDMC
IDN,Indonesia,2017,13000,12905,2800,2750,365000,364971,0,0,IDMC
IDN,Indonesia,2018,16000,15902,4500,4497,853000,853305,0,0,IDMC
IDN,Indonesia,2019,40000,40094,23000,23396,463000,462646,104000,104000,IDMC
IDN,Indonesia,2020,40000,40041,4600,4599,705000,704513,161000,161000,IDMC
IND,India,2008,0,0,0,0,6662000,6662165,0,0,IDMC
IND,India,2009,500000,500000,33000,33000,5304000,5304000,0,0,IDMC
IND,India,2010,650000,650000,107000,106500,1411000,1411285,0,0,IDMC
IND,India,2011,650000,650000,53000,53000,1503000,1503320,0,0,IDMC
IND,India,2012,1000000,1000000,500000,500000,9110000,9110000,0,0,IDMC
IND,India,2013,526000,526000,64000,64000,2145000,2144671,0,0,IDMC
IND,India,2014,854000,853900,345000,345000,3428000,3427618,0,0,IDMC
IND,India,2015,612000,611763,1000,1000,3655000,3654637,0,0,IDMC
IND,India,2016,796000,796275,448000,448400,2400000,2400307,0,0,IDMC
IND,India,2017,806000,805744,78000,78489,1346000,1345994,0,0,IDMC
IND,India,2018,479000,479446,169000,169313,2675000,2675414,0,0,IDMC
IND,India,2019,470000,469624,19000,19005,5018000,5017722,590000,590000,IDMC
IND,India,2020,473000,473079,3900,3922,3856000,3856213,929000,929000,IDMC
JPN,Japan,2008,0,0,0,0,800,800,0,0,IDMC
JPN,Japan,2009,0,0,0,0,0,0,0,0,IDMC
JPN,Japan,2010,0,0,0,0,85000,85000,0,0,IDMC
JPN,Japan,2011,0,0,0,0,892000,892000,0,0,IDMC
JPN,Japan,2012,0,0,0,0,308000,308080,0,0,IDMC
JPN,Japan,2013,0,0,0,0,639000,638987,0,0,IDMC
JPN,Japan,2014,0,0,0,0,707000,707470,0,0,IDMC
JPN,Japan,2015,0,0,0,0,486000,486114,0,0,IDMC
JPN,Japan,2016,0,0,0,0,864000,863583,0,0,IDMC
JPN,Japan,2017,0,0,0,0,21000,20796,0,0,IDMC
JPN,Japan,2018,0,0,0,0,146000,145997,0,0,IDMC
JPN,Japan,2019,0,0,0,0,265000,264567,88000,88000,IDMC
JPN,Japan,2020,0,0,0,0,186000,185868,61000,61000,IDMC
KAZ,Kazakhstan,2010,0,0,0,0,5000,5000,0,0,IDMC
KAZ,Kazakhstan,2011,0,0,0,0,9000,9000,0,0,IDMC
KAZ,Kazakhstan,2012,0,0,0,0,5100,5113,0,0,IDMC
KAZ,Kazakhstan,2013,0,0,0,0,330,328,0,0,IDMC
KAZ,Kazakhstan,2015,0,0,0,0,19000,19036,0,0,IDMC
KAZ,Kazakhstan,2016,0,0,0,0,1000,1029,0,0,IDMC
KAZ,Kazakhstan,2017,0,0,0,0,7100,7115,0,0,IDMC
KAZ,Kazakhstan,2018,0,0,0,0,400,400,0,0,IDMC
KAZ,Kazakhstan,2020,0,0,0,0,32000,31606,1800,1800,IDMC
KGZ,Kyrgyzstan,2008,0,0,0,0,1100,1055,0,0,IDMC
KGZ,Kyrgyzstan,2010,75000,75000,300000,300000,0,0,0,0,IDMC
KGZ,Kyrgyzstan,2011,67000,67000,0,0,0,0,0,0,IDMC
KGZ,Kyrgyzstan,2012,164000,164000,0,0,0,0,0,0,IDMC
KGZ,Kyrgyzstan,2013,0,0,0,0,0,0,0,0,IDMC
KGZ,Kyrgyzstan,2015,0,0,0,0,5900,5906,0,0,IDMC
KGZ,Kyrgyzstan,2016,0,0,0,0,39,39,0,0,IDMC
KGZ,Kyrgyzstan,2017,0,0,0,0,3300,3320,0,0,IDMC
KGZ,Kyrgyzstan,2018,0,0,0,0,4700,4690,0,0,IDMC
KGZ,Kyrgyzstan,2019,0,0,770,770,0,0,0,0,IDMC
KGZ,Kyrgyzstan,2020,770,770,250,254,0,0,0,0,IDMC
KHM,Cambodia,2009,0,0,0,0,66000,66000,0,0,IDMC
KHM,Cambodia,2010,0,0,0,0,32000,31505,0,0,IDMC
KHM,Cambodia,2011,0,0,0,0,214000,214000,0,0,IDMC
KHM,Cambodia,2013,0,0,0,0,144000,144496,0,0,IDMC
KHM,Cambodia,2014,0,0,0,0,151000,151073,0,0,IDMC
KHM,Cambodia,2015,0,0,0,0,8900,8859,0,0,IDMC
KHM,Cambodia,2016,0,0,0,0,8300,8274,0,0,IDMC
KHM,Cambodia,2017,0,0,0,0,15000,15068,0,0,IDMC
KHM,Cambodia,2018,0,0,0,0,37000,37177,0,0,IDMC
KHM,Cambodia,2019,0,0,0,0,70000,70108,1300,1300,IDMC
KHM,Cambodia,2020,0,0,0,0,66000,66250,260,260,IDMC
KIR,Kiribati,2008,0,0,0,0,85,85,0,0,IDMC
KIR,Kiribati,2015,0,0,0,0,2500,2520,0,0,IDMC
KOR,Korea,2010,0,0,0,0,0,0,0,0,IDMC
KOR,Korea,2011,0,0,0,0,5500,5540,0,0,IDMC
KOR,Korea,2013,0,0,0,0,4200,4233,0,0,IDMC
KOR,Korea,2016,0,0,0,0,7500,7482,0,0,IDMC
KOR,Korea,2017,0,0,0,0,4300,4333,0,0,IDMC
KOR,Korea,2018,0,0,0,0,1100,1084,0,0,IDMC
KOR,Korea,2019,0,0,0,0,5600,5647,1700,1700,IDMC
KOR,Korea,2020,0,0,0,0,19000,19021,300,300,IDMC
LAO,Lao PDR,2008,0,0,0,0,0,0,0,0,IDMC
LAO,Lao PDR,2009,0,0,0,0,38000,37500,0,0,IDMC
LAO,Lao PDR,2010,0,0,4400,4400,0,0,0,0,IDMC
LAO,Lao PDR,2011,0,0,0,0,50000,50000,0,0,IDMC
LAO,Lao PDR,2012,0,0,0,0,0,0,0,0,IDMC
LAO,Lao PDR,2013,0,0,0,0,9900,9908,0,0,IDMC
LAO,Lao PDR,2014,0,0,0,0,790,793,0,0,IDMC
LAO,Lao PDR,2015,0,0,0,0,12000,11951,0,0,IDMC
LAO,Lao PDR,2016,0,0,0,0,660,659,0,0,IDMC
LAO,Lao PDR,2017,0,0,0,0,190,188,0,0,IDMC
LAO,Lao PDR,2018,0,0,0,0,19000,19021,0,0,IDMC
LAO,Lao PDR,2019,0,0,0,0,103000,102540,5400,5400,IDMC
LAO,Lao PDR,2020,0,0,0,0,12000,12360,2000,2000,IDMC
LKA,Sri Lanka,2008,0,0,0,0,525000,525408,0,0,IDMC
LKA,Sri Lanka,2009,400000,400000,280000,280000,363000,362885,0,0,IDMC
LKA,Sri Lanka,2010,327000,327000,0,0,141000,141414,0,0,IDMC
LKA,Sri Lanka,2011,125000,125000,0,0,685000,684884,0,0,IDMC
LKA,Sri Lanka,2012,93000,93000,0,0,129000,129092,0,0,IDMC
LKA,Sri Lanka,2013,90000,90000,0,0,324000,324236,0,0,IDMC
