iso,country_name,year,conflict_stock_displacement,conflict_stock_displacement_raw,conflict_new_displacements,conflict_new_displacements_raw,disaster_new_displacements,disaster_new_displacements_raw,disaster_stock_displacement,disaster_stock_displacementr_raw,data_source
LKA,Sri Lanka,2014,90000,90000,0,0,152000,151800,0,0,IDMC
LKA,Sri Lanka,2015,44000,43977,0,0,66000,65562,0,0,IDMC
LKA,Sri Lanka,2016,44000,43607,0,0,500000,500200,0,0,IDMC
LKA,Sri Lanka,2017,42000,41938,0,0,135000,135158,0,0,IDMC
LKA,Sri Lanka,2018,37000,37064,1100,1138,100000,99674,0,0,IDMC
LKA,Sri Lanka,2019,27000,27327,1700,1700,87000,87051,4900,4900,IDMC
LKA,Sri Lanka,2020,27000,27327,0,0,19000,19367,1400,1400,IDMC
MDV,Maldives,2017,0,0,0,0,76,76,0,0,IDMC
MDV,Maldives,2018,0,0,0,0,20,20,0,0,IDMC
MDV,Maldives,2019,0,0,0,0,300,296,0,0,IDMC
MHL,Marshall Islands,2008,0,0,0,0,600,600,0,0,IDMC
MHL,Marshall Islands,2014,0,0,0,0,1200,1246,0,0,IDMC
MHL,Marshall Islands,2019,0,0,0,0,200,200,0,0,IDMC
MMR,Myanmar,2008,0,0,0,0,2250000,2250000,0,0,IDMC
MMR,Myanmar,2009,470000,470000,75000,75000,2500,2521,0,0,IDMC
MMR,Myanmar,2010,446000,446000,73000,73000,106000,105993,0,0,IDMC
MMR,Myanmar,2011,450000,450000,50000,50000,13000,13152,0,0,IDMC
MMR,Myanmar,2012,450000,450000,166000,166000,74000,73840,0,0,IDMC
MMR,Myanmar,2013,641000,640900,54000,53946,223000,223000,0,0,IDMC
MMR,Myanmar,2014,645000,645261,6200,6200,81000,81032,0,0,IDMC
MMR,Myanmar,2015,644000,644000,16000,16000,1618000,1618261,0,0,IDMC
MMR,Myanmar,2016,644000,644000,35000,35000,509000,509238,0,0,IDMC
MMR,Myanmar,2017,635000,635155,57000,56967,351000,351436,0,0,IDMC
MMR,Myanmar,2018,401000,401168,42000,42434,298000,298023,0,0,IDMC
MMR,Myanmar,2019,457000,457313,80000,79652,270000,270012,41000,41000,IDMC
MMR,Myanmar,2020,505000,505378,70000,70194,50000,49547,4600,4600,IDMC
MNG,Mongolia,2009,0,0,0,0,22000,21560,0,0,IDMC
MNG,Mongolia,2015,0,0,0,0,810,807,0,0,IDMC
MNG,Mongolia,2018,0,0,0,0,5900,5931,0,0,IDMC
MNG,Mongolia,2019,0,0,0,0,13,13,0,0,IDMC
MNG,Mongolia,2020,0,0,0,0,4200,4156,3500,3500,IDMC
MYS,Malaysia,2008,0,0,0,0,4000,4000,0,0,IDMC
MYS,Malaysia,2009,0,0,0,0,0,0,0,0,IDMC
MYS,Malaysia,2010,0,0,0,0,65000,65000,0,0,IDMC
MYS,Malaysia,2011,0,0,0,0,24000,24000,0,0,IDMC
MYS,Malaysia,2012,0,0,0,0,22000,22000,0,0,IDMC
MYS,Malaysia,2013,0,0,0,0,43000,42626,0,0,IDMC
MYS,Malaysia,2014,0,0,0,0,256000,255711,0,0,IDMC
MYS,Malaysia,2015,0,0,0,0,21000,20607,0,0,IDMC
MYS,Malaysia,2016,0,0,0,0,18000,18475,0,0,IDMC
MYS,Malaysia,2017,0,0,0,0,82000,82393,0,0,IDMC
MYS,Malaysia,2018,0,0,0,0,38000,37983,0,0,IDMC
MYS,Malaysia,2019,0,0,0,0,63000,63228,15000,15000,IDMC
MYS,Malaysia,2020,0,0,0,0,24000,23618,8,8,IDMC
NPL,Nepal,2008,0,0,0,0,250000,250000,0,0,IDMC
NPL,Nepal,2009,60000,60000,5000,5000,18000,18300,0,0,IDMC
NPL,Nepal,2010,50000,50000,0,0,0,0,0,0,IDMC
NPL,Nepal,2011,50000,50000,0,0,46000,46476,0,0,IDMC
NPL,Nepal,2012,50000,50000,0,0,600,600,0,0,IDMC
NPL,Nepal,2013,50000,50000,0,0,12000,12474,0,0,IDMC
NPL,Nepal,2014,50000,50000,0,0,74000,74400,0,0,IDMC
NPL,Nepal,2015,50000,50000,0,0,2623000,2622828,0,0,IDMC
NPL,Nepal,2016,50000,50000,0,0,31000,31338,0,0,IDMC
NPL,Nepal,2017,2,2,2,2,384000,383904,0,0,IDMC
NPL,Nepal,2018,0,0,0,0,12000,12296,0,0,IDMC
NPL,Nepal,2019,0,0,0,0,121000,120902,29000,29000,IDMC
NPL,Nepal,2020,0,0,0,0,48000,48141,28000,28000,IDMC
NZL,New Zealand,2010,0,0,0,0,250,250,0,0,IDMC
NZL,New Zealand,2011,0,0,0,0,2300,2300,0,0,IDMC
NZL,New Zealand,2012,0,0,0,0,450,450,0,0,IDMC
NZL,New Zealand,2013,0,0,0,0,210,210,0,0,IDMC
NZL,New Zealand,2015,0,0,0,0,440,440,0,0,IDMC
NZL,New Zealand,2016,0,0,0,0,1800,1789,0,0,IDMC
NZL,New Zealand,2017,0,0,0,0,6300,6250,0,0,IDMC
NZL,New Zealand,2018,0,0,0,0,990,989,0,0,IDMC
NZL,New Zealand,2019,0,0,0,0,1300,1298,11,11,IDMC
NZL,New Zealand,2020,0,0,0,0,4900,4937,370,370,IDMC
PAK,Pakistan,2008,0,0,0,0,89000,89200,0,0,IDMC
PAK,Pakistan,2009,1230000,1230000,3000000,3000000,84000,84290,0,0,IDMC
PAK,Pakistan,2010,980000,980000,400000,400000,11060000,11060000,0,0,IDMC
PAK,Pakistan,2011,900000,900000,190000,190000,300000,300000,0,0,IDMC
PAK,Pakistan,2012,758000,758000,412000,412000,1857000,1856570,0,0,IDMC
PAK,Pakistan,2013,747000,746700,140000,140000,407000,407436,0,0,IDMC
PAK,Pakistan,2014,1900000,1900000,907000,907000,771000,770577,0,0,IDMC
PAK,Pakistan,2015,1459000,1459312,0,0,1002000,1001665,0,0,IDMC
PAK,Pakistan,2016,464000,463921,2400,2356,13000,12673,0,0,IDMC
PAK,Pakistan,2017,249000,249491,75000,75137,1800,1750,0,0,IDMC
PAK,Pakistan,2018,119000,118996,1800,1832,2100,2078,0,0,IDMC
PAK,Pakistan,2019,106000,105844,16000,16051,100000,100082,15000,15000,IDMC
PAK,Pakistan,2020,104000,103602,390,388,829000,828524,806000,806000,IDMC
PHL,Philippines,2008,0,0,0,0,2757000,2756634,0,0,IDMC
PHL,Philippines,2009,125000,125000,400000,400000,2062000,2062402,0,0,IDMC
PHL,Philippines,2010,15000,15000,70000,70000,1002000,1001991,0,0,IDMC
PHL,Philippines,2011,46000,46000,97000,97000,2499000,2499241,0,0,IDMC
PHL,Philippines,2012,0,0,178000,178000,3859000,3858596,0,0,IDMC
PHL,Philippines,2013,116000,115800,327000,327351,7022000,7022195,0,0,IDMC
PHL,Philippines,2014,78000,77700,124000,123800,5787000,5786981,0,0,IDMC
PHL,Philippines,2015,62000,62454,288000,287970,2221000,2221158,0,0,IDMC
PHL,Philippines,2016,87000,87417,280000,279870,5930000,5929853,0,0,IDMC
PHL,Philippines,2017,445000,445268,645000,644811,2529000,2528620,0,0,IDMC
PHL,Philippines,2018,301000,300806,188000,188314,3802000,3801971,0,0,IDMC
PHL,Philippines,2019,182000,181815,183000,183273,4094000,4094228,364000,364000,IDMC
PHL,Philippines,2020,153000,153057,111000,110622,4439000,4439048,145000,145000,IDMC
PLW,Palau,2012,0,0,0,0,150,151,0,0,IDMC
PLW,Palau,2013,0,0,0,0,1500,1500,0,0,IDMC
PNG,Papua New Guinea,2008,0,0,0,0,75000,75000,0,0,IDMC
PNG,Papua New Guinea,2009,0,0,0,0,1000,1000,0,0,IDMC
PNG,Papua New Guinea,2010,0,0,0,0,0,0,0,0,IDMC
PNG,Papua New Guinea,2011,0,0,0,0,0,0,0,0,IDMC
PNG,Papua New Guinea,2012,0,0,0,0,75000,75000,0,0,IDMC
PNG,Papua New Guinea,2013,0,0,0,0,46,46,0,0,IDMC
PNG,Papua New Guinea,2014,7500,7500,1200,1200,21000,21144,0,0,IDMC
PNG,Papua New Guinea,2015,6300,6300,0,0,0,0,0,0,IDMC
PNG,Papua New Guinea,2016,8400,8420,290,290,1600,1630,0,0,IDMC
PNG,Papua New Guinea,2017,12000,12423,0,0,1400,1387,0,0,IDMC
PNG,Papua New Guinea,2018,12000,12440,360,360,61000,61028,0,0,IDMC
PNG,Papua New Guinea,2019,14000,14233,1300,1279,31000,30994,11000,11000,IDMC
PNG,Papua New Guinea,2020,14000,14216,0,0,3900,3894,2700,2700,IDMC
SLB,Solomon Islands,2009,0,0,0,0,0,0,0,0,IDMC
SLB,Solomon Islands,2010,0,0,0,0,7900,7850,0,0,IDMC
SLB,Solomon Islands,2011,0,0,0,0,0,0,0,0,IDMC
SLB,Solomon Islands,2012,0,0,0,0,1000,1047,0,0,IDMC
SLB,Solomon Islands,2013,0,0,0,0,3500,3500,0,0,IDMC
SLB,Solomon Islands,2014,0,0,0,0,9000,9000,0,0,IDMC
SLB,Solomon Islands,2015,0,0,0,0,1000,1000,0,0,IDMC
SLB,Solomon Islands,2016,0,0,0,0,1300,1328,0,0,IDMC
SLB,Solomon Islands,2017,0,0,0,0,580,575,0,0,IDMC
SLB,Solomon Islands,2018,0,0,0,0,1100,1058,0,0,IDMC
SLB,Solomon Islands,2019,0,0,0,0,31,31,0,0,IDMC
SLB,Solomon Islands,2020,0,0,0,0,320,319,310,310,IDMC
THA,Thailand,2008,0,0,0,0,203000,202680,0,0,IDMC
THA,Thailand,2009,0,0,0,0,68000,68000,0,0,IDMC
THA,Thailand,2010,0,0,0,0,1000000,1000000,0,0,IDMC
THA,Thailand,2011,35000,35000,50000,50000,1645000,1644965,0,0,IDMC
THA,Thailand,2012,35000,35000,0,0,3400,3400,0,0,IDMC
THA,Thailand,2013,35000,35000,100,100,13000,13282,0,0,IDMC
THA,Thailand,2014,35000,35000,0,0,27000,27155,0,0,IDMC
THA,Thailand,2015,35000,35000,0,0,240,237,0,0,IDMC
THA,Thailand,2016,35000,35000,0,0,90000,90160,0,0,IDMC
THA,Thailand,2017,41000,40584,0,0,50000,50371,0,0,IDMC
THA,Thailand,2018,41000,40584,0,0,4600,4648,0,0,IDMC
THA,Thailand,2019,41000,40584,0,0,61000,61352,400,400,IDMC
THA,Thailand,2020,41000,40584,0,0,13000,13491,320,320,IDMC
TJK,Tajikistan,2008,0,0,0,0,0,0,0,0,IDMC
TJK,Tajikistan,2009,0,0,0,0,0,0,0,0,IDMC
TJK,Tajikistan,2010,0,0,0,0,2000,2009,0,0,IDMC
TJK,Tajikistan,2011,0,0,0,0,0,0,0,0,IDMC
TJK,Tajikistan,2012,0,0,0,0,6400,6390,0,0,IDMC
TJK,Tajikistan,2013,0,0,0,0,660,655,0,0,IDMC
TJK,Tajikistan,2014,0,0,0,0,460,462,0,0,IDMC
TJK,Tajikistan,2015,0,0,0,0,11000,11469,0,0,IDMC
TJK,Tajikistan,2016,0,0,0,0,2400,2380,0,0,IDMC
TJK,Tajikistan,2017,0,0,0,0,4700,4665,0,0,IDMC
TJK,Tajikistan,2018,0,0,0,0,5400,5429,0,0,IDMC
TJK,Tajikistan,2019,0,0,0,0,4800,4811,2100,2100,IDMC
TJK,Tajikistan,2020,0,0,0,0,1500,1525,0,0,IDMC
TKM,Turkmenistan,2009,4000,4000,0,0,0,0,0,0,IDMC
TKM,Turkmenistan,2010,4000,4000,0,0,0,0,0,0,IDMC
TKM,Turkmenistan,2011,4000,4000,0,0,0,0,0,0,IDMC
TKM,Turkmenistan,2012,4000,4000,0,0,0,0,0,0,IDMC
TKM,Turkmenistan,2013,4000,4000,0,0,0,0,0,0,IDMC
TKM,Turkmenistan,2014,4000,4000,0,0,0,0,0,0,IDMC
TLS,Timor-Leste,2009,400,400,100,100,0,0,0,0,IDMC
TLS,Timor-Leste,2010,400,400,0,0,0,0,0,0,IDMC
TLS,Timor-Leste,2011,900,900,1000,1000,0,0,0,0,IDMC
TLS,Timor-Leste,2012,900,900,0,0,0,0,0,0,IDMC
TLS,Timor-Leste,2013,900,900,0,0,1300,1291,0,0,IDMC
TLS,Timor-Leste,2014,900,900,2100,2086,2300,2329,0,0,IDMC
TLS,Timor-Leste,2015,0,0,0,0,310,311,0,0,IDMC
TLS,Timor-Leste,2016,0,0,0,0,110,112,0,0,IDMC
TLS,Timor-Leste,2020,0,0,0,0,1100,1141,1100,1100,IDMC
TON,Tonga,2009,0,0,0,0,0,0,0,0,IDMC
TON,Tonga,2011,0,0,0,0,0,0,0,0,IDMC
TON,Tonga,2012,0,0,0,0,400,400,0,0,IDMC
TON,Tonga,2013,0,0,0,0,17,17,0,0,IDMC
TON,Tonga,2014,0,0,0,0,5300,5306,0,0,IDMC
TON,Tonga,2016,0,0,0,0,3000,3000,0,0,IDMC
TON,Tonga,2018,0,0,0,0,5700,5700,0,0,IDMC
TON,Tonga,2020,0,0,0,0,2700,2678,93,93,IDMC
TUV,Tuvalu,2015,0,0,0,0,5400,5435,0,0,IDMC
TUV,Tuvalu,2020,0,0,0,0,400,400,0,0,IDMC
TWN,"Taiwan, China",2009,0,0,0,0,25000,24950,0,0,IDMC
TWN,"Taiwan, China",2010,0,0,0,0,0,0,0,0,IDMC
TWN,"Taiwan, China",2012,0,0,0,0,6000,6000,0,0,IDMC
TWN,"Taiwan, China",2013,0,0,0,0,22000,22146,0,0,IDMC
TWN,"Taiwan, China",2014,0,0,0,0,9400,9388,0,0,IDMC
TWN,"Taiwan, China",2015,0,0,0,0,27000,27141,0,0,IDMC
TWN,"Taiwan, China",2016,0,0,0,0,45000,45175,0,0,IDMC
TWN,"Taiwan, China",2017,0,0,0,0,20000,20343,0,0,IDMC
TWN,"Taiwan, China",2018,0,0,0,0,19000,18752,0,0,IDMC
TWN,"Taiwan, China",2019,0,0,0,0,13000,13124,600,600,IDMC
TWN,"Taiwan, China",2020,0,0,0,0,3500,3540,0,0,IDMC
UZB,Uzbekistan,2009,3400,3400,0,0,0,0,0,0,IDMC
UZB,Uzbekistan,2010,3400,3400,0,0,0,0,0,0,IDMC
UZB,Uzbekistan,2011,3400,3400,0,0,0,0,0,0,IDMC
UZB,Uzbekistan,2012,3400,3400,0,0,0,0,0,0,IDMC
UZB,Uzbekistan,2013,3400,3400,0,0,0,0,0,0,IDMC
UZB,Uzbekistan,2014,3400,3400,0,0,0,0,0,0,IDMC
UZB,Uzbekistan,2020,0,0,0,0,70000,70000,0,0,IDMC
VNM,Viet Nam,2008,0,0,0,0,106000,105590,0,0,IDMC
VNM,Viet Nam,2009,0,0,0,0,187000,186900,0,0,IDMC
VNM,Viet Nam,2010,0,0,0,0,442000,441849,0,0,IDMC
VNM,Viet Nam,2011,0,0,0,0,230000,230000,0,0,IDMC
VNM,Viet Nam,2012,0,0,0,0,15000,15000,0,0,IDMC
VNM,Viet Nam,2013,0,0,0,0,1040000,1040338,0,0,IDMC
VNM,Viet Nam,2014,0,0,0,0,68000,67950,0,0,IDMC
VNM,Viet Nam,2015,0,0,0,0,9600,9551,0,0,IDMC
VNM,Viet Nam,2016,0,0,0,0,81000,80537,0,0,IDMC
VNM,Viet Nam,2017,0,0,0,0,633000,633463,0,0,IDMC
VNM,Viet Nam,2018,0,0,0,0,143000,143047,0,0,IDMC
VNM,Viet Nam,2019,0,0,0,0,89000,88749,7200,7200,IDMC
VNM,Viet Nam,2020,0,0,0,0,1267000,1267477,162000,162000,IDMC
VUT,Vanuatu,2009,0,0,0,0,0,0,0,0,IDMC
VUT,Vanuatu,2011,0,0,0,0,400,400,0,0,IDMC
VUT,Vanuatu,2012,0,0,0,0,700,700,0,0,IDMC
VUT,Vanuatu,2013,0,0,0,0,69,69,0,0,IDMC
VUT,Vanuatu,2014,0,0,0,0,350,349,0,0,IDMC
VUT,Vanuatu,2015,0,0,0,0,65000,65000,0,0,IDMC
VUT,Vanuatu,2017,0,0,0,0,14000,14259,0,0,IDMC
VUT,Vanuatu,2018,0,0,0,0,13000,12972,0,0,IDMC
VUT,Vanuatu,2019,0,0,0,0,1000,1000,100,100,IDMC
VUT,Vanuatu,2020,0,0,0,0,80000,80191,64000,64000,IDMC
WSM,Samoa,2009,0,0,0,0,5300,5274,0,0,IDMC
WSM,Samoa,2011,0,0,0,0,0,0,0,0,IDMC
WSM,Samoa,2012,0,0,0,0,7700,7739,0,0,IDMC
WSM,Samoa,2014,0,0,0,0,86,86,0,0,IDMC
WSM,Samoa,2015,0,0,0,0,970,965,0,0,IDMC
WSM,Samoa,2016,0,0,0,0,63,63,0,0,IDMC
WSM,Samoa,2018,0,0,0,0,330,327,0,0,IDMC
WSM,Samoa,2020,0,0,0,0,55,55,0,0,IDMC