iso,country_name,year,fsi_total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,data_source
TKM,Turkmenistan,2017,74.4,6.3,7.8,6.6,4.9,6.7,5.1,9.7,5.6,8.7,5.4,3.5,4.1,FSI
UZB,Uzbekistan,2017,81.5,7.1,8.8,7.1,6.3,6.9,6,9.5,4.9,9.2,5.6,5.5,4.6,FSI
VNM,Vietnam,2017,70.2,4.6,6.9,6,5.1,5,6.2,8.3,4.7,7.4,6.1,4.7,5.2,FSI
AFG,Afghanistan,2016,107.9,10,8.6,8.6,8.5,7.5,8.4,9.1,9.6,8.7,9.5,9.5,9.9,FSI
ARM,Armenia,2016,69.6,5,7,5.6,6.5,4.7,5.9,7.2,3.8,7,3.3,6.7,6.9,FSI
AUS,Australia,2016,22.5,1.8,1.7,4.1,1.8,2.4,1,1,1.7,2.5,1.5,2,1,FSI
AZE,Azerbaijan,2016,76.3,6.4,7.9,6.7,3.8,5.6,4,8.9,5.1,8.6,4.8,7.9,6.6,FSI
BGD,Bangladesh,2016,90.7,7.8,9.6,8.9,6.3,6.9,7.5,8,7.8,7.6,8,6.3,6,FSI
BTN,Bhutan,2016,77.6,4.7,7.5,7.6,5.2,6.6,7.2,4.5,6.3,6.3,6.3,7.2,8.2,FSI
BRN,Brunei Darussalam,2016,62,5.3,7.4,5.9,3,7.8,4.3,8.3,2,7.9,3.9,2.4,3.8,FSI
KHM,Cambodia,2016,87.4,6.4,8.3,7.1,5.9,6.8,7.8,8.5,8,7.9,7.2,5.9,7.6,FSI
CHN,China,2016,74.9,5.6,7.2,8.1,4.1,7.5,4.6,8.3,5.9,8.7,6.9,5.1,2.9,FSI
FJI,Fiji,2016,76.2,6.8,7.9,7.1,6.7,6.5,7.9,7.1,4.5,6.6,4.4,3.3,7.4,FSI
GEO,Georgia,2016,78.9,7,9.1,8.1,5.6,5.7,5.1,8.5,4.5,5.8,4.2,7.7,7.6,FSI
IND,India,2016,79.6,7.6,7.3,8.5,5.3,7.2,5.8,4.9,7.6,6.2,8.1,5.5,5.6,FSI
IDN,Indonesia,2016,74.9,5.9,7,7.3,5.5,6,6.6,5.3,6.1,7.4,6.8,5.6,5.4,FSI
JPN,Japan,2016,35.1,1.3,2.6,3.9,4.3,1.8,2.9,1.4,1.8,3.2,4.5,3.4,4,FSI
KAZ,Kazakhstan,2016,66.5,5.4,7.6,7.3,6.6,4.4,3.3,8,4.2,7.4,4.7,3.2,4.4,FSI
KGZ,Kyrgyz Republic,2016,81.1,6.5,8,8.6,7.2,6.1,6.7,7.9,5.3,7,5.7,5.5,6.6,FSI
LAO,Laos,2016,84.4,5.7,8.3,6.6,5.4,7.1,7.7,9.3,7.2,8.1,7.4,5.3,6.3,FSI
MYS,Malaysia,2016,66.1,6.5,6.8,6.7,3.3,5.2,4.7,7.4,4.4,7.7,5.5,3.9,4,FSI
MDV,Maldives,2016,74,6.6,8,4.8,6.1,3.8,5.9,8.7,5.8,7.7,5.5,4.4,6.7,FSI
FSM,Micronesia,2016,77.1,4.8,5.6,4,9,8.5,9.5,5.7,6.2,3.4,7.6,3.6,9.2,FSI
MNG,Mongolia,2016,56.6,3.7,5.5,4,5,6.1,3,4.2,5.6,4.7,5.3,2.7,6.8,FSI
MMR,Myanmar,2016,96.3,8.4,8.6,9.9,6.4,7.9,6,8.7,8.7,8.6,7.3,8.3,7.5,FSI
NPL,Nepal,2016,91.2,6.7,8.3,9.5,7,7.2,6.7,7.1,7.4,7.4,8.8,8,7.1,FSI
NZL,New Zealand,2016,21.3,1.4,1.1,3.8,3.8,2.5,1.8,0.6,1.6,0.7,1.6,1.5,0.9,FSI
PAK,Pakistan,2016,101.7,9.3,8.9,9.7,7.4,7,7.3,8.3,8.2,8.2,8.9,8.9,9.6,FSI
PNG,Papua New Guinea,2016,86.2,7.2,7.1,6.5,5.8,9.3,7.4,7,9.2,7.1,7.9,4.7,7,FSI
PHL,Philippines,2016,84.7,9.4,8,8.1,5.7,5.9,6.5,7.2,6.9,5.6,7.7,7.1,6.6,FSI
WSM,Samoa,2016,67.6,4.9,5.1,4.5,6.5,5.1,9.2,5.7,5.1,4.3,5.9,2.4,8.9,FSI
SGP,Singapore,2016,32.9,1.7,4,2.8,2.2,4,3,3.9,1.5,4.3,2.7,1.4,1.4,FSI
SLB,Solomon Islands,2016,85.3,6.1,8.2,6.5,7.3,9.2,6.6,7,7.9,5.4,8.2,4.6,8.3,FSI
KOR,South Korea,2016,36.1,1.8,3.8,3.1,2.1,3.2,3.6,3.4,2.1,2.9,3.3,1.7,5.1,FSI
LKA,Sri Lanka,2016,87.7,7.6,8.8,9.2,5.6,7.3,7.9,7.4,5.3,8.5,5.7,7.9,6.5,FSI
TJK,Tajikistan,2016,83.8,6.9,8.4,7.6,7.5,5.3,6.4,9.3,5.8,7.9,8.1,4.5,6.1,FSI
THA,Thailand,2016,78.8,9.2,9.7,9,3.8,5.5,4.4,7.7,4.6,8.2,6.6,6.1,4,FSI
TLS,Timor-Leste,2016,90.8,7.4,8.3,6.7,8.1,7,7.3,7.1,8.7,5.5,9.2,6.5,9,FSI
TKM,Turkmenistan,2016,76,6.5,7.8,6.8,5.1,6.9,4.8,9.8,5.8,8.9,5.6,3.7,4.3,FSI
UZB,Uzbekistan,2016,83.5,7.3,8.8,7.3,6.5,7.1,6,9.7,5.1,9.4,5.8,5.7,4.8,FSI
VNM,Vietnam,2016,70.7,4.8,6.9,6.2,5.3,5.2,5.9,8.4,4.9,7.5,5.8,4.4,5.4,FSI
AFG,Afghanistan,2015,107.9,10,9.3,8.9,8.6,7.2,8.1,9.7,9.3,8.6,9.3,9.1,9.8,FSI
ARM,Armenia,2015,69.7,5.3,7,5.4,6,5,6,7,4.1,6.5,3.6,7,6.8,FSI
AUS,Australia,2015,24.3,2.1,1.6,4.4,2.1,2.7,1,1.1,2,2.4,1.8,2.1,1,FSI
AZE,Azerbaijan,2015,77.3,6.7,7.9,6.4,4.1,5.9,4.3,8.6,5.4,8.4,5.1,7.6,6.9,FSI
BGD,Bangladesh,2015,91.8,7.7,9.6,8.4,6.7,7.2,7.5,8.5,8.1,7.7,8.1,6.6,5.7,FSI
BTN,Bhutan,2015,78.7,5,7.5,7.9,5.7,6.9,6.8,5,6.6,6.5,6,6.9,7.9,FSI
BRN,Brunei Darussalam,2015,63,5.6,7.4,5.9,2.8,7.8,4.6,8,2.2,7.7,4.2,2.7,4.1,FSI
KHM,Cambodia,2015,87.9,6.7,8.2,7.4,6.4,7.1,7.5,8.4,7.7,8.3,7,5.8,7.4,FSI
CHN,China,2015,76.5,5.9,7.2,8.3,3.4,7.4,4.6,8,6.2,9.2,7.4,5.6,3.2,FSI
FJI,Fiji,2015,76.7,6.7,7.9,7,6.7,6.8,7.6,7.4,4.5,6.9,4.7,3.4,7.2,FSI
GEO,Georgia,2015,79.2,7.3,9.1,7.8,5.8,5.9,5.4,8.8,4.8,5.8,3.9,7.4,7.3,FSI
IND,India,2015,79.3,7.9,7.3,8.3,5.6,7.5,5.5,5.2,7.5,5.9,8,5.4,5.3,FSI
IDN,Indonesia,2015,75,6.2,7,7.3,5.2,6.3,6.3,5.6,6,6.8,7.1,5.9,5.3,FSI
JPN,Japan,2015,36,1.4,2.6,4.2,4.6,1.9,2.6,1.7,2.1,3.4,4.8,3.1,3.6,FSI
KAZ,Kazakhstan,2015,68.3,5.7,7.6,7,6.5,4.7,3.6,8,4.5,7.5,5,3.5,4.7,FSI
KGZ,Kyrgyz Republic,2015,82.2,6.8,8,8.4,7,6.4,6.4,7.8,5.6,7.2,5.9,5.8,6.9,FSI
LAO,Laos,2015,84.4,6,8.3,6.3,5.5,6.9,7.4,9,7.7,8.1,7.1,5.6,6.6,FSI
MYS,Malaysia,2015,65.9,6.8,6.5,6.2,3.6,5.3,4.5,6.9,4.7,7.2,5.8,4.2,4.2,FSI
MDV,Maldives,2015,74.3,6.1,7.8,4.6,6.4,4.1,5.6,8.5,6.1,7.5,5.8,4.7,7,FSI
FSM,Micronesia,2015,73.5,5.1,5.6,4,8.1,8.4,9,6,5.7,3.1,7.1,3.2,8.3,FSI
MNG,Mongolia,2015,57,4,5.5,4.3,4.3,6.4,3.1,4.5,5.7,4.8,5.5,2.4,6.5,FSI
MMR,Myanmar,2015,94.7,8.3,8.3,9.7,6.5,8.2,5.7,9,8.6,8.3,6.8,8.3,7,FSI
NPL,Nepal,2015,90.5,7,8.3,9.1,6.8,7.5,7,7.1,7.1,7.7,7.9,7.6,7.4,FSI
NZL,New Zealand,2015,22.6,1.1,1.1,4.1,3.9,2.8,2.1,0.5,1.9,1,1.9,1.1,1.1,FSI
PAK,Pakistan,2015,103,9.6,9.2,10,7.7,7.3,7,8.6,7.9,8.4,9,8.9,9.3,FSI
PNG,Papua New Guinea,2015,83.4,6.9,7.1,6.3,6.2,9,7.1,6.9,8.7,6.6,7.3,4.6,6.7,FSI
PHL,Philippines,2015,86.2,9.1,8,8.3,6,6.2,6.2,7.5,7.2,5.9,8.2,7.4,6.3,FSI
WSM,Samoa,2015,68.2,5.2,5.1,4.5,6.5,5.4,8.9,6.2,5,4.5,6.2,2.1,8.6,FSI
SGP,Singapore,2015,34.4,1.6,4,3.1,2.5,4,3.3,3.8,1.8,4.6,2.9,1.1,1.7,FSI
SLB,Solomon Islands,2015,85.9,6.4,8.2,6.5,7.6,8.9,6.3,7.3,7.6,5.7,8.5,4.9,8,FSI
KOR,South Korea,2015,36.3,2.1,3.8,3.4,2,3.5,3.5,3.3,2.4,2.6,2.8,1.5,5.4,FSI
LKA,Sri Lanka,2015,90.7,7.9,9.1,9.3,5.9,7.6,7.8,8,5.6,8.8,6,8.2,6.4,FSI
TJK,Tajikistan,2015,83.4,6.8,8.4,7.3,7.4,5.6,6.3,9.1,5.9,7.6,7.8,4.8,6.4,FSI
THA,Thailand,2015,79.1,8.9,10,8.5,4,5.8,4.1,8,4.9,7.7,6.9,6,4.3,FSI
TLS,Timor-Leste,2015,90.5,7.7,8.3,6.5,8.4,6.7,7,7.4,8.4,5.8,8.9,6.8,8.7,FSI
TKM,Turkmenistan,2015,77.4,6.8,7.8,7.1,5,6.9,5.1,9.7,6.1,8.8,5.7,3.9,4.6,FSI
UZB,Uzbekistan,2015,85.3,7.6,8.8,7.6,6.8,7,6.3,9.6,5.4,9.1,6.1,6,5.1,FSI
VNM,Vietnam,2015,72.4,5.1,6.9,6.5,5.8,5.5,5.6,8.1,5.2,7.8,6.1,4.7,5.1,FSI
AFG,Afghanistan,2014,106.5,10,9.4,8.7,8.3,7.5,7.8,9.5,9,8.3,8.8,9.3,9.9,FSI
ARM,Armenia,2014,71.3,5.6,7.4,5.7,5.8,5.3,5.7,6.7,4.4,6.8,4.7,6.7,6.5,FSI
AUS,Australia,2014,26.3,2,1.6,3.9,2.4,3,0.9,1,2.1,2.3,3.4,2.4,1.3,FSI
AZE,Azerbaijan,2014,77.8,7,7.9,6.7,4.4,6.2,4.7,8.3,5.3,7.7,5.4,7.6,6.6,FSI
BGD,Bangladesh,2014,92.8,7.8,9.3,8.7,7,7.5,7.2,8.4,8.4,8,7.6,6.9,6,FSI
BTN,Bhutan,2014,80.9,5.3,7.5,7.6,6,7.2,7.1,5.5,6.6,7,6.3,7.2,7.6,FSI
BRN,Brunei Darussalam,2014,63.6,5.6,7.4,6.2,3.1,7.8,4.9,7.1,2.5,7.4,4.5,3,4.1,FSI
KHM,Cambodia,2014,88.5,6.3,8.6,7.3,6.1,7.4,7.2,8.4,8,7.9,7.5,6.1,7.7,FSI
CHN,China,2014,79,6.2,7.2,8.6,3.9,7.7,4.8,7.9,6.5,9.1,7.7,5.9,3.5,FSI
FJI,Fiji,2014,79,7,7.9,7.3,7,7.1,7.3,7.8,4.8,7.2,5,3.7,6.9,FSI
GEO,Georgia,2014,82.7,7.6,9.5,8,6.3,6.2,5.5,8.7,5.1,6.1,4.9,7.2,7.6,FSI
IND,India,2014,76.9,7.9,6.8,7.8,5.7,7.8,5.2,5.3,7,5.6,7.7,5.1,5,FSI
IDN,Indonesia,2014,76.8,6.5,7,7.6,5.5,6.6,6,6.5,6,6.2,7.4,5.9,5.6,FSI
JPN,Japan,2014,36.3,1.9,2.6,4.1,3.6,2.1,2.3,2,2.4,3.3,4.7,3.4,3.9,FSI
KAZ,Kazakhstan,2014,68.5,6,7.6,6.5,5.9,5,3.9,7.7,4.8,7.2,5.1,3.8,5,FSI
KGZ,Kyrgyz Republic,2014,83.9,7.1,8,8.2,7.3,6.7,6.1,8.2,5.9,7.3,6,5.5,7.6,FSI
LAO,Laos,2014,84.3,6.3,8.3,6,5.8,6.6,7.1,8.6,7.4,8,7.4,5.9,6.9,FSI
MYS,Malaysia,2014,66.2,6.5,7,6.2,3.9,5.6,4.8,6.6,4.6,6.9,5.5,4.5,4.1,FSI
MDV,Maldives,2014,75.4,5.8,8.3,4.9,6.7,4.2,5.9,8.4,6.4,7.4,5.7,5,6.7,FSI
FSM,Micronesia,2014,74.6,5.4,5.6,4.2,7.8,8.3,8.7,6.3,6,3.4,7.2,3.5,8.2,FSI
MNG,Mongolia,2014,58.1,4.3,5.5,4,4.6,6.5,2.8,4.8,6,5.1,5.8,2.5,6.2,FSI
MMR,Myanmar,2014,94.3,8,8.6,9.3,7,8.1,5.3,9.3,8.3,8,7.3,8.2,6.9,FSI
NPL,Nepal,2014,91,7.3,8.3,9,7.1,7.8,6.2,7.6,7.4,7.6,7.8,7.6,7.3,FSI
NZL,New Zealand,2014,24.1,1.4,1.1,3.8,3.9,3.1,2.2,0.5,2.1,1.1,2.4,1.2,1.3,FSI
PAK,Pakistan,2014,103,9.9,9.5,10,7.5,7.6,6.9,8.5,7.6,8.6,8.8,8.8,9.3,FSI
PNG,Papua New Guinea,2014,84.1,6.4,7.1,6.6,6.6,9.3,7.3,6.6,9,6.3,7.6,4.9,6.4,FSI
PHL,Philippines,2014,85.3,8.8,8,8.3,5.7,6.3,5.9,7.3,6.9,6.4,7.8,7.7,6.2,FSI
WSM,Samoa,2014,69.3,5.5,5.1,4.8,6.2,5.7,8.9,6,5.1,4.8,6.5,2.4,8.3,FSI
SGP,Singapore,2014,35.9,2,4,2.8,2.8,4,3.6,3.5,2.1,4.9,2.8,1.4,2,FSI
SLB,Solomon Islands,2014,86.4,6.7,8,6.8,7.5,8.6,6,7,7.9,6,8.2,5.2,8.5,FSI
KOR,South Korea,2014,36.4,2.4,3.6,3.1,2.3,3.2,3.6,2.8,2.1,2.9,2.9,1.8,5.7,FSI
LKA,Sri Lanka,2014,92.6,8.2,9.4,9.3,6.2,7.5,7.6,8.3,5.3,9.1,6.5,8.5,6.7,FSI
TJK,Tajikistan,2014,84.6,7.1,8.4,7,7.7,5.9,6.1,9,6.2,7.9,7.5,5.1,6.7,FSI
THA,Thailand,2014,77,7.9,9.5,8,3.6,6.1,3.8,7.1,4.9,7.4,7.6,6.5,4.6,FSI
TLS,Timor-Leste,2014,91,8,8.3,6.8,8.2,6.4,6.7,7.7,8.5,5.7,8.8,7.1,8.8,FSI
TKM,Turkmenistan,2014,78.2,6.8,7.8,6.9,5.3,6.7,5.1,9.6,6.4,8.5,6,4.2,4.9,FSI
UZB,Uzbekistan,2014,86.3,7.6,8.8,7.4,7.1,7.3,6.6,9.3,5.4,9.3,6.4,5.7,5.4,FSI
VNM,Vietnam,2014,72.7,5.1,6.9,6,5.7,5.8,5.5,8,5.5,7.6,6.2,5,5.4,FSI
AFG,Afghanistan,2013,106.7,9.9,9.4,9.2,8.2,7.8,7.2,9.4,8.8,8.4,9.3,9.2,10,FSI
ARM,Armenia,2013,71.3,5.3,7,5.7,5.9,5.6,6,6.6,4.4,6.8,4.9,8.4,6.2,FSI
AUS,Australia,2013,25.4,1.7,1.6,3.6,2.1,3.3,1.1,1,1.8,2.2,3.3,8.4,1,FSI
AZE,Azerbaijan,2013,78.2,6.9,7.8,6.9,4.7,6.1,4.7,8.2,5.1,7.6,5.3,8.4,6.9,FSI
BGD,Bangladesh,2013,92.5,7.7,8.9,8.6,7.3,7.8,7.5,8.3,8,7.3,8.1,8.4,5.8,FSI
BTN,Bhutan,2013,81.8,5.6,7.5,7.3,6.3,7.5,6.8,6,6.9,7.3,6.4,8.4,7.3,FSI
BRN,Brunei Darussalam,2013,63.2,5.6,7.4,6.2,2.8,7.8,4.6,7.4,2.6,6.9,4.5,8.4,4.1,FSI
KHM,Cambodia,2013,88,6.2,8,7,6.4,7.3,7.4,8.3,8.1,7.8,7.2,8.4,8,FSI
CHN,China,2013,80.9,6.5,7.2,8.3,3.6,8,5,8.1,6.8,9.4,8.1,8.4,3.8,FSI
FJI,Fiji,2013,80.8,7,7.9,7.3,7.3,7.4,7,8.8,4.9,7.3,5.2,8.4,6.9,FSI
GEO,Georgia,2013,84.2,7.9,9.4,8,6.4,6.3,5.2,8.6,5.4,6.4,5.2,8.4,7.9,FSI
IND,India,2013,77.5,7.8,6.8,8.2,5.4,8.1,5.4,5.2,6.7,5.9,7.5,8.4,5.2,FSI
IDN,Indonesia,2013,78.2,6.8,7,7.3,5.5,6.9,6.3,6.4,6.1,6.5,7.5,8.4,5.9,FSI
JPN,Japan,2013,36.1,1.7,2.6,3.8,3.7,1.8,2,2.2,2.5,3,5.4,8.4,3.7,FSI
KAZ,Kazakhstan,2013,69.8,6.4,7.7,6.2,6.2,5.3,3.6,7.8,5.1,7.1,5.3,8.4,5.3,FSI
KGZ,Kyrgyz Republic,2013,85.7,7.4,8,8.4,7.6,7,6.4,8.4,5.9,7.6,6.2,8.4,7.3,FSI
LAO,Laos,2013,83.7,6.6,8.3,6.1,5.7,6.1,6.8,8.6,7.3,8.3,7.5,8.4,6.6,FSI
MYS,Malaysia,2013,66.1,6,6.8,6.1,4.1,5.9,4.8,6.2,4.5,7.1,5.6,8.4,4.4,FSI
MDV,Maldives,2013,75.4,5.8,8,4.9,6.5,4.4,6.2,8.3,6.7,7.6,5.4,8.4,6.4,FSI
FSM,Micronesia,2013,72.9,5.4,5.6,4.2,7.5,8,8.4,6.3,6.3,3.1,7.1,8.4,7.9,FSI
MNG,Mongolia,2013,57.8,4.4,5.5,3.7,4.7,6.3,2.5,5.3,5.7,5.4,5.5,8.4,6.5,FSI
MMR,Myanmar,2013,94.6,7.8,8.6,9,7.3,8.4,5.4,9,8.1,8.3,7.6,8.5,6.6,FSI
NPL,Nepal,2013,91.8,7.6,8.2,9,7.3,8.1,5.9,8.1,7.3,7.9,7.6,8.4,7.1,FSI
NZL,New Zealand,2013,22.7,1.1,1.1,3.5,3.6,3.4,2.4,0.5,1.8,1.2,2.1,8.4,1,FSI
PAK,Pakistan,2013,102.9,9.8,9.2,9.7,7.5,7.9,6.9,8.4,7.3,8.7,8.9,9.1,9.6,FSI
PNG,Papua New Guinea,2013,84.9,6.6,7.1,6.6,6.9,9.1,7.5,7.1,8.9,6.2,7.6,8.4,6.3,FSI
PHL,Philippines,2013,82.8,8.7,8,7.9,5.6,6.5,6.2,7.6,6.4,6.7,7.1,8.4,5.5,FSI
WSM,Samoa,2013,68.7,5.5,5.1,4.8,5.9,6,8.8,6,4.8,4.5,6.8,8.4,8,FSI
SGP,Singapore,2013,34,1.5,4,2.7,3,3.7,3.3,3.2,1.9,4.9,2.5,8.4,2.2,FSI
SLB,Solomon Islands,2013,85.2,6.7,8,6.8,7.8,8.3,5.7,7.3,8,5.9,7.7,8.4,8.2,FSI
KOR,South Korea,2013,35.4,2.1,3.6,3.1,2,2.9,3.9,2.9,1.9,2.6,3,8.4,5.4,FSI
LKA,Sri Lanka,2013,92.9,8.5,9.3,9.5,5.9,7.8,7.3,8.2,5.5,9,6.8,8.4,6.8,FSI
TJK,Tajikistan,2013,85.2,7.4,8.3,6.7,8,6.2,5.9,9.1,6.3,8.2,7.4,8.4,6.4,FSI
THA,Thailand,2013,75.1,7.8,8.8,8.1,3.5,6.4,3.5,6.2,4.6,7.3,7.9,8.4,4.6,FSI
TLS,Timor-Leste,2013,91.5,8.3,8.3,6.8,7.9,6.7,6.4,8,8.5,6,8.7,8.4,8.5,FSI
TKM,Turkmenistan,2013,76.7,7.1,7.7,6.7,5.4,6.5,4.9,9.3,6.1,8.7,5.9,8.4,4.6,FSI
UZB,Uzbekistan,2013,86.9,7.9,8.7,7.5,7.2,7.6,6.3,9,5.4,9.2,6.7,8.4,5.4,FSI
VNM,Vietnam,2013,73.1,5.4,6.9,5.7,6.2,5.8,5.7,7.8,5.8,7.5,5.9,8.4,5.6,FSI
AFG,Afghanistan,2012,106,9.7,9.4,9.4,7.7,8.1,7.4,9.5,8.5,8.5,8.9,9,10,FSI
ARM,Armenia,2012,72.2,5.2,7,5.7,5.6,5.9,6.3,6.8,4.7,6.8,5.2,6.8,6.1,FSI
AUS,Australia,2012,29.2,2,1.6,3.9,2.6,3.6,1.4,1.3,2.1,2.2,4.4,3,1.1,FSI
AZE,Azerbaijan,2012,79.8,6.7,7.8,7.2,5.2,6.6,5.1,8,5.4,7.3,5.6,7.6,7.2,FSI
BGD,Bangladesh,2012,92.2,7.6,8.9,8.9,7.4,8.1,7.8,8.2,7.8,6.8,8,6.8,5.9,FSI
BTN,Bhutan,2012,82.4,5.9,7.5,7.6,6.6,7.8,6.5,6.3,6.6,7.3,6.7,6.6,7,FSI
BRN,Brunei Darussalam,2012,64.1,5.6,7.4,6.2,3.1,7.8,4.3,7.4,2.9,6.6,4.8,3.6,4.4,FSI
KHM,Cambodia,2012,88.7,6.5,8,7.3,6.9,7.1,7.7,8.2,8.3,7.7,7.5,5.9,7.7,FSI
CHN,China,2012,78.3,6,6.9,7.9,3.9,8.3,5.3,7.9,6.3,8.6,7.9,5.9,3.5,FSI
FJI,Fiji,2012,80.5,7,7.9,7.6,7,7.7,7.3,8.8,5.2,7,5.1,3.3,6.6,FSI
GEO,Georgia,2012,84.8,7.6,9.1,8.3,6.3,6.6,5.2,8.5,5.7,6.7,5.5,7.2,8.2,FSI
IND,India,2012,78,7.5,6.8,7.9,5.5,8.4,5.9,5.5,6.9,5.8,7.3,5.5,5,FSI
IDN,Indonesia,2012,80.6,7.1,7,7.1,6,7.2,6.6,6.7,6.2,6.8,7.4,6.3,6.2,FSI
JPN,Japan,2012,43.5,2,2.6,3.8,4,2,2.1,2.5,5,3.2,8.3,4,4,FSI
KAZ,Kazakhstan,2012,70.9,6.3,7.7,6.5,6.5,5.6,3.5,7.5,5.4,7.1,5.6,3.5,5.6,FSI
KGZ,Kyrgyz Republic,2012,87.4,7.4,8.3,8.4,7.9,7.3,6.7,8.7,5.4,7.8,6.5,5.3,7.6,FSI
LAO,Laos,2012,85.5,6.9,8.6,6.3,6.7,5.8,7.1,8.3,7.4,8.2,7.8,5.5,6.9,FSI
MYS,Malaysia,2012,68.5,6.3,6.8,6.4,4.6,6.4,4.4,6.5,4.8,7.4,5.7,4.5,4.7,FSI
MDV,Maldives,2012,75.1,5.7,7.6,4.9,6.4,4.7,6.5,7.9,6.6,7.5,5.7,5.6,6.1,FSI
FSM,Micronesia,2012,71.9,5.4,5.6,4.2,7,7.5,8.1,6.3,6.6,2.8,6.8,3.4,8.2,FSI
MNG,Mongolia,2012,58.7,4.7,5.5,3.7,5.2,6,2.2,5.6,5.6,5.7,5.8,1.9,6.8,FSI
MMR,Myanmar,2012,96.2,7.5,8.6,8.7,7.6,8.7,5.7,9.4,8.4,8.6,7.9,8.2,6.9,FSI
NPL,Nepal,2012,93,7.5,8.2,9,7.6,8.4,5.6,8,7.4,8.2,7.9,7.7,7.4,FSI
NZL,New Zealand,2012,25.6,1.4,1.1,3.8,3.9,3.7,2.7,0.8,2.1,1.5,2.4,1.4,0.8,FSI
PAK,Pakistan,2012,101.6,9.3,9.1,9.6,7.2,8.2,7.2,8.3,7,8.6,8.5,9,9.4,FSI
PNG,Papua New Guinea,2012,83.7,6.3,7.1,6.9,6.6,8.8,7.2,7.6,8.6,6.1,7.4,4.8,6.1,FSI
PHL,Philippines,2012,83.2,8.4,8,7.6,5.3,6.8,6.5,7.9,6.3,7,7.3,6.2,5.8,FSI
WSM,Samoa,2012,68.5,5.5,5.1,4.8,5.4,6.3,8.6,6,4.8,4.4,6.7,2.6,8.3,FSI
SGP,Singapore,2012,35.6,1.8,4,3,3.3,3.7,3.1,3.5,2.2,5,2.6,0.9,2.5,FSI
SLB,Solomon Islands,2012,85.6,6.7,8,6.8,7.9,8.3,5.4,7.6,7.8,6.2,7.6,4.8,8.5,FSI
KOR,South Korea,2012,37.6,2,3.6,3.4,2.3,2.6,4.2,3.2,2.2,2.8,3,2.5,5.7,FSI
LKA,Sri Lanka,2012,92.2,8.2,9.2,9.1,5.6,8.1,7.1,8.1,5.8,8.7,7.1,8.7,6.5,FSI
TJK,Tajikistan,2012,85.7,7.1,8.3,6.9,7.7,6.5,5.7,8.8,6.6,8.5,7.3,5.6,6.7,FSI
THA,Thailand,2012,77,7.3,8.8,7.8,4,6.9,4,6.5,4.7,7.2,8.2,6.7,4.9,FSI
TLS,Timor-Leste,2012,92.7,8.3,8.3,6.8,8,7,6.1,8.5,8.4,6.3,8.4,7.7,8.9,FSI
TKM,Turkmenistan,2012,77.4,7.2,7.7,6.4,5.7,6.8,4.8,9,6.4,8.4,6.2,3.9,4.9,FSI
UZB,Uzbekistan,2012,87.5,8.2,8.7,7.7,7.1,7.9,6,8.7,5.7,9.1,7,5.7,5.7,FSI
VNM,Vietnam,2012,74,5.7,6.9,6,6.1,5.9,6,7.5,6.1,7.4,6.1,4.4,5.9,FSI