iso,country_name,mean_temperature,year,data_source
AFG,Afghanistan ,14.3,2010,World Bank Climate Knowledge Portal 
AFG,Afghanistan ,13.85,2011,World Bank Climate Knowledge Portal 
AFG,Afghanistan ,13.24,2012,World Bank Climate Knowledge Portal 
AFG,Afghanistan ,14.18,2013,World Bank Climate Knowledge Portal 
AFG,Afghanistan ,13.61,2014,World Bank Climate Knowledge Portal 
AFG,Afghanistan ,13.97,2015,World Bank Climate Knowledge Portal 
AFG,Afghanistan ,14.5,2016,World Bank Climate Knowledge Portal 
AFG,Afghanistan ,14.12,2017,World Bank Climate Knowledge Portal 
AFG,Afghanistan ,14.55,2018,World Bank Climate Knowledge Portal 
AFG,Afghanistan ,13.86,2019,World Bank Climate Knowledge Portal 
AFG,Afghanistan ,13.25,2020,World Bank Climate Knowledge Portal 
ARM,Armenia,8.86,2010,World Bank Climate Knowledge Portal 
ARM,Armenia,6.44,2011,World Bank Climate Knowledge Portal 
ARM,Armenia,7.54,2012,World Bank Climate Knowledge Portal 
ARM,Armenia,7.11,2013,World Bank Climate Knowledge Portal 
ARM,Armenia,7.92,2014,World Bank Climate Knowledge Portal 
ARM,Armenia,7.74,2015,World Bank Climate Knowledge Portal 
ARM,Armenia,7.17,2016,World Bank Climate Knowledge Portal 
ARM,Armenia,7.38,2017,World Bank Climate Knowledge Portal 
ARM,Armenia,8.67,2018,World Bank Climate Knowledge Portal 
ARM,Armenia,7.95,2019,World Bank Climate Knowledge Portal 
ARM,Armenia,7.76,2020,World Bank Climate Knowledge Portal 
AUS,Australia ,21.58,2010,World Bank Climate Knowledge Portal 
AUS,Australia ,21.53,2011,World Bank Climate Knowledge Portal 
AUS,Australia ,21.83,2012,World Bank Climate Knowledge Portal 
AUS,Australia ,22.81,2013,World Bank Climate Knowledge Portal 
AUS,Australia ,22.63,2014,World Bank Climate Knowledge Portal 
AUS,Australia ,22.43,2015,World Bank Climate Knowledge Portal 
AUS,Australia ,22.5,2016,World Bank Climate Knowledge Portal 
AUS,Australia ,22.57,2017,World Bank Climate Knowledge Portal 
AUS,Australia ,22.58,2018,World Bank Climate Knowledge Portal 
AUS,Australia ,22.88,2019,World Bank Climate Knowledge Portal 
AUS,Australia ,22.65,2020,World Bank Climate Knowledge Portal 
AZE,Azerbaijan ,14.42,2010,World Bank Climate Knowledge Portal 
AZE,Azerbaijan ,12.34,2011,World Bank Climate Knowledge Portal 
AZE,Azerbaijan ,13.36,2012,World Bank Climate Knowledge Portal 
AZE,Azerbaijan ,13.15,2013,World Bank Climate Knowledge Portal 
AZE,Azerbaijan ,13.4,2014,World Bank Climate Knowledge Portal 
AZE,Azerbaijan ,13.53,2015,World Bank Climate Knowledge Portal 
AZE,Azerbaijan ,12.95,2016,World Bank Climate Knowledge Portal 
AZE,Azerbaijan ,13.17,2017,World Bank Climate Knowledge Portal 
AZE,Azerbaijan ,14.16,2018,World Bank Climate Knowledge Portal 
AZE,Azerbaijan ,13.72,2019,World Bank Climate Knowledge Portal 
AZE,Azerbaijan ,13.36,2020,World Bank Climate Knowledge Portal 
BGD,Bangladesh,26.32,2010,World Bank Climate Knowledge Portal 
BGD,Bangladesh,25.69,2011,World Bank Climate Knowledge Portal 
BGD,Bangladesh,25.2,2012,World Bank Climate Knowledge Portal 
BGD,Bangladesh,25.12,2013,World Bank Climate Knowledge Portal 
BGD,Bangladesh,25.4,2014,World Bank Climate Knowledge Portal 
BGD,Bangladesh,25.25,2015,World Bank Climate Knowledge Portal 
BGD,Bangladesh,25.73,2016,World Bank Climate Knowledge Portal 
BGD,Bangladesh,25.49,2017,World Bank Climate Knowledge Portal 
BGD,Bangladesh,25.1,2018,World Bank Climate Knowledge Portal 
BGD,Bangladesh,25.44,2019,World Bank Climate Knowledge Portal 
BGD,Bangladesh,25.23,2020,World Bank Climate Knowledge Portal 
BTN,Bhutan,12.78,2010,World Bank Climate Knowledge Portal 
BTN,Bhutan,12.06,2011,World Bank Climate Knowledge Portal 
BTN,Bhutan,11.76,2012,World Bank Climate Knowledge Portal 
BTN,Bhutan,11.86,2013,World Bank Climate Knowledge Portal 
BTN,Bhutan,12.17,2014,World Bank Climate Knowledge Portal 
BTN,Bhutan,11.92,2015,World Bank Climate Knowledge Portal 
BTN,Bhutan,12.32,2016,World Bank Climate Knowledge Portal 
BTN,Bhutan,12.28,2017,World Bank Climate Knowledge Portal 
BTN,Bhutan,11.89,2018,World Bank Climate Knowledge Portal 
BTN,Bhutan,12.08,2019,World Bank Climate Knowledge Portal 
BTN,Bhutan,11.96,2020,World Bank Climate Knowledge Portal 
BRN,Brunei,26.49,2010,World Bank Climate Knowledge Portal 
BRN,Brunei,26.38,2011,World Bank Climate Knowledge Portal 
BRN,Brunei,26.61,2012,World Bank Climate Knowledge Portal 
BRN,Brunei,26.68,2013,World Bank Climate Knowledge Portal 
BRN,Brunei,26.51,2014,World Bank Climate Knowledge Portal 
BRN,Brunei,26.86,2015,World Bank Climate Knowledge Portal 
BRN,Brunei,27.15,2016,World Bank Climate Knowledge Portal 
BRN,Brunei,26.71,2017,World Bank Climate Knowledge Portal 
BRN,Brunei,26.78,2018,World Bank Climate Knowledge Portal 
BRN,Brunei,26.98,2019,World Bank Climate Knowledge Portal 
BRN,Brunei,26.81,2020,World Bank Climate Knowledge Portal 
KHM,Cambodia,27.9,2010,World Bank Climate Knowledge Portal 
KHM,Cambodia,26.92,2011,World Bank Climate Knowledge Portal 
KHM,Cambodia,27.8,2012,World Bank Climate Knowledge Portal 
KHM,Cambodia,27.39,2013,World Bank Climate Knowledge Portal 
KHM,Cambodia,27.51,2014,World Bank Climate Knowledge Portal 
KHM,Cambodia,27.89,2015,World Bank Climate Knowledge Portal 
KHM,Cambodia,28.06,2016,World Bank Climate Knowledge Portal 
KHM,Cambodia,27.55,2017,World Bank Climate Knowledge Portal 
KHM,Cambodia,27.56,2018,World Bank Climate Knowledge Portal 
KHM,Cambodia,28.09,2019,World Bank Climate Knowledge Portal 
KHM,Cambodia,27.99,2020,World Bank Climate Knowledge Portal 
CHN,China,7.4,2010,World Bank Climate Knowledge Portal 
CHN,China,7.22,2011,World Bank Climate Knowledge Portal 
CHN,China,6.94,2012,World Bank Climate Knowledge Portal 
CHN,China,7.56,2013,World Bank Climate Knowledge Portal 
CHN,China,7.55,2014,World Bank Climate Knowledge Portal 
CHN,China,7.8,2015,World Bank Climate Knowledge Portal 
CHN,China,7.79,2016,World Bank Climate Knowledge Portal 
CHN,China,7.94,2017,World Bank Climate Knowledge Portal 
CHN,China,7.58,2018,World Bank Climate Knowledge Portal 
CHN,China,7.85,2019,World Bank Climate Knowledge Portal 
CHN,China,7.76,2020,World Bank Climate Knowledge Portal 
COK,Cook Islands,23.99,2010,World Bank Climate Knowledge Portal 
COK,Cook Islands,23.99,2011,World Bank Climate Knowledge Portal 
COK,Cook Islands,23.97,2012,World Bank Climate Knowledge Portal 
COK,Cook Islands,23.98,2013,World Bank Climate Knowledge Portal 
COK,Cook Islands,23.96,2014,World Bank Climate Knowledge Portal 
COK,Cook Islands,23.96,2015,World Bank Climate Knowledge Portal 
COK,Cook Islands,23.98,2016,World Bank Climate Knowledge Portal 
COK,Cook Islands,23.99,2017,World Bank Climate Knowledge Portal 
COK,Cook Islands,23.97,2018,World Bank Climate Knowledge Portal 
COK,Cook Islands,23.98,2019,World Bank Climate Knowledge Portal 
COK,Cook Islands,23.98,2020,World Bank Climate Knowledge Portal 
FSM,Federated States of Micronesia,26.41,2010,World Bank Climate Knowledge Portal 
FSM,Federated States of Micronesia,26.48,2011,World Bank Climate Knowledge Portal 
FSM,Federated States of Micronesia,26.73,2012,World Bank Climate Knowledge Portal 
FSM,Federated States of Micronesia,27.1,2013,World Bank Climate Knowledge Portal 
FSM,Federated States of Micronesia,26.71,2014,World Bank Climate Knowledge Portal 
FSM,Federated States of Micronesia,26.8,2015,World Bank Climate Knowledge Portal 
FSM,Federated States of Micronesia,27.16,2016,World Bank Climate Knowledge Portal 
FSM,Federated States of Micronesia,27.24,2017,World Bank Climate Knowledge Portal 
FSM,Federated States of Micronesia,27.05,2018,World Bank Climate Knowledge Portal 
FSM,Federated States of Micronesia,27.08,2019,World Bank Climate Knowledge Portal 
FSM,Federated States of Micronesia,27.22,2020,World Bank Climate Knowledge Portal 
FJI,Fiji,24.57,2010,World Bank Climate Knowledge Portal 
FJI,Fiji,24.37,2011,World Bank Climate Knowledge Portal 
FJI,Fiji,24.12,2012,World Bank Climate Knowledge Portal 
FJI,Fiji,24.36,2013,World Bank Climate Knowledge Portal 
FJI,Fiji,24.2,2014,World Bank Climate Knowledge Portal 
FJI,Fiji,24.15,2015,World Bank Climate Knowledge Portal 
FJI,Fiji,24.59,2016,World Bank Climate Knowledge Portal 
FJI,Fiji,24.61,2017,World Bank Climate Knowledge Portal 
FJI,Fiji,24.44,2018,World Bank Climate Knowledge Portal 
FJI,Fiji,24.65,2019,World Bank Climate Knowledge Portal 
FJI,Fiji,24.92,2020,World Bank Climate Knowledge Portal 
GEO,Georgia,9.34,2010,World Bank Climate Knowledge Portal 
GEO,Georgia,6.99,2011,World Bank Climate Knowledge Portal 
GEO,Georgia,7.94,2012,World Bank Climate Knowledge Portal 
GEO,Georgia,7.75,2013,World Bank Climate Knowledge Portal 
GEO,Georgia,8.54,2014,World Bank Climate Knowledge Portal 
GEO,Georgia,8.26,2015,World Bank Climate Knowledge Portal 
GEO,Georgia,7.86,2016,World Bank Climate Knowledge Portal 
GEO,Georgia,8.02,2017,World Bank Climate Knowledge Portal 
GEO,Georgia,9.22,2018,World Bank Climate Knowledge Portal 
GEO,Georgia,8.62,2019,World Bank Climate Knowledge Portal 
GEO,Georgia,8.6,2020,World Bank Climate Knowledge Portal 
IND,India,25.41,2010,World Bank Climate Knowledge Portal 
IND,India,24.82,2011,World Bank Climate Knowledge Portal 
IND,India,24.77,2012,World Bank Climate Knowledge Portal 
IND,India,24.64,2013,World Bank Climate Knowledge Portal 
IND,India,24.77,2014,World Bank Climate Knowledge Portal 
IND,India,24.89,2015,World Bank Climate Knowledge Portal 
IND,India,25.27,2016,World Bank Climate Knowledge Portal 
IND,India,25.15,2017,World Bank Climate Knowledge Portal 
IND,India,25,2018,World Bank Climate Knowledge Portal 
IND,India,24.94,2019,World Bank Climate Knowledge Portal 
IND,India,24.8,2020,World Bank Climate Knowledge Portal 
IDN,Indonesia,26.27,2010,World Bank Climate Knowledge Portal 
IDN,Indonesia,26.07,2011,World Bank Climate Knowledge Portal 
IDN,Indonesia,26.18,2012,World Bank Climate Knowledge Portal 
IDN,Indonesia,26.24,2013,World Bank Climate Knowledge Portal 
IDN,Indonesia,26.23,2014,World Bank Climate Knowledge Portal 
IDN,Indonesia,26.31,2015,World Bank Climate Knowledge Portal 
IDN,Indonesia,26.42,2016,World Bank Climate Knowledge Portal 
IDN,Indonesia,26.22,2017,World Bank Climate Knowledge Portal 
IDN,Indonesia,26.23,2018,World Bank Climate Knowledge Portal 
IDN,Indonesia,26.39,2019,World Bank Climate Knowledge Portal 
IDN,Indonesia,26.38,2020,World Bank Climate Knowledge Portal 
JPN,Japan,11.66,2010,World Bank Climate Knowledge Portal 
JPN,Japan,11.22,2011,World Bank Climate Knowledge Portal 
JPN,Japan,11.02,2012,World Bank Climate Knowledge Portal 
JPN,Japan,11.41,2013,World Bank Climate Knowledge Portal 
JPN,Japan,11.18,2014,World Bank Climate Knowledge Portal 
JPN,Japan,11.7,2015,World Bank Climate Knowledge Portal 
JPN,Japan,11.78,2016,World Bank Climate Knowledge Portal 
JPN,Japan,11.17,2017,World Bank Climate Knowledge Portal 
JPN,Japan,11.73,2018,World Bank Climate Knowledge Portal 
JPN,Japan,11.91,2019,World Bank Climate Knowledge Portal 
JPN,Japan,11.96,2020,World Bank Climate Knowledge Portal 
KAZ,Kazakhstan,7.31,2010,World Bank Climate Knowledge Portal 
KAZ,Kazakhstan,6.25,2011,World Bank Climate Knowledge Portal 
KAZ,Kazakhstan,6.66,2012,World Bank Climate Knowledge Portal 
KAZ,Kazakhstan,8.09,2013,World Bank Climate Knowledge Portal 
KAZ,Kazakhstan,6.4,2014,World Bank Climate Knowledge Portal 
KAZ,Kazakhstan,7.83,2015,World Bank Climate Knowledge Portal 
KAZ,Kazakhstan,7.78,2016,World Bank Climate Knowledge Portal 
KAZ,Kazakhstan,7.54,2017,World Bank Climate Knowledge Portal 
KAZ,Kazakhstan,6.46,2018,World Bank Climate Knowledge Portal 
KAZ,Kazakhstan,7.77,2019,World Bank Climate Knowledge Portal 
KAZ,Kazakhstan,8.32,2020,World Bank Climate Knowledge Portal 
KOR,"Korea, Republic of",11.16,2010,World Bank Climate Knowledge Portal 
KOR,"Korea, Republic of",10.83,2011,World Bank Climate Knowledge Portal 
KOR,"Korea, Republic of",10.83,2012,World Bank Climate Knowledge Portal 
KOR,"Korea, Republic of",11.42,2013,World Bank Climate Knowledge Portal 
KOR,"Korea, Republic of",11.57,2014,World Bank Climate Knowledge Portal 
KOR,"Korea, Republic of",11.84,2015,World Bank Climate Knowledge Portal 
KOR,"Korea, Republic of",12.09,2016,World Bank Climate Knowledge Portal 
KOR,"Korea, Republic of",11.74,2017,World Bank Climate Knowledge Portal 
KOR,"Korea, Republic of",11.62,2018,World Bank Climate Knowledge Portal 
KOR,"Korea, Republic of",12.2,2019,World Bank Climate Knowledge Portal 
KOR,"Korea, Republic of",11.87,2020,World Bank Climate Knowledge Portal 
KGZ,Kyrgyz Republic,2.56,2010,World Bank Climate Knowledge Portal 
KGZ,Kyrgyz Republic,2.18,2011,World Bank Climate Knowledge Portal 
KGZ,Kyrgyz Republic,1.6,2012,World Bank Climate Knowledge Portal 
KGZ,Kyrgyz Republic,2.9,2013,World Bank Climate Knowledge Portal 
KGZ,Kyrgyz Republic,1.66,2014,World Bank Climate Knowledge Portal 
KGZ,Kyrgyz Republic,2.92,2015,World Bank Climate Knowledge Portal 
KGZ,Kyrgyz Republic,2.99,2016,World Bank Climate Knowledge Portal 
KGZ,Kyrgyz Republic,2.35,2017,World Bank Climate Knowledge Portal 
KGZ,Kyrgyz Republic,2.29,2018,World Bank Climate Knowledge Portal 
KGZ,Kyrgyz Republic,2.9,2019,World Bank Climate Knowledge Portal 
KGZ,Kyrgyz Republic,2.35,2020,World Bank Climate Knowledge Portal 
LAO,Laos ,24.27,2010,World Bank Climate Knowledge Portal 
LAO,Laos ,23.03,2011,World Bank Climate Knowledge Portal 
LAO,Laos ,24.11,2012,World Bank Climate Knowledge Portal 
LAO,Laos ,23.72,2013,World Bank Climate Knowledge Portal 
LAO,Laos ,23.87,2014,World Bank Climate Knowledge Portal 
LAO,Laos ,24.29,2015,World Bank Climate Knowledge Portal 
LAO,Laos ,24.25,2016,World Bank Climate Knowledge Portal 
LAO,Laos ,23.77,2017,World Bank Climate Knowledge Portal 
LAO,Laos ,23.76,2018,World Bank Climate Knowledge Portal 
LAO,Laos ,24.5,2019,World Bank Climate Knowledge Portal 
LAO,Laos ,24.32,2020,World Bank Climate Knowledge Portal 
MYS,Malaysia,25.8,2010,World Bank Climate Knowledge Portal 
MYS,Malaysia,25.58,2011,World Bank Climate Knowledge Portal 
MYS,Malaysia,25.77,2012,World Bank Climate Knowledge Portal 
MYS,Malaysia,25.87,2013,World Bank Climate Knowledge Portal 
MYS,Malaysia,25.78,2014,World Bank Climate Knowledge Portal 
MYS,Malaysia,26.01,2015,World Bank Climate Knowledge Portal 
MYS,Malaysia,26.3,2016,World Bank Climate Knowledge Portal 
MYS,Malaysia,25.85,2017,World Bank Climate Knowledge Portal 
MYS,Malaysia,25.89,2018,World Bank Climate Knowledge Portal 
MYS,Malaysia,26.17,2019,World Bank Climate Knowledge Portal 
MYS,Malaysia,26.05,2020,World Bank Climate Knowledge Portal 
MDV,Maldives,27.73,2010,World Bank Climate Knowledge Portal 
MDV,Maldives,27.73,2011,World Bank Climate Knowledge Portal 
MDV,Maldives,27.73,2012,World Bank Climate Knowledge Portal 
MDV,Maldives,27.71,2013,World Bank Climate Knowledge Portal 
MDV,Maldives,27.73,2014,World Bank Climate Knowledge Portal 
MDV,Maldives,27.73,2015,World Bank Climate Knowledge Portal 
MDV,Maldives,27.8,2016,World Bank Climate Knowledge Portal 
MDV,Maldives,27.75,2017,World Bank Climate Knowledge Portal 
MDV,Maldives,27.73,2018,World Bank Climate Knowledge Portal 
MDV,Maldives,27.78,2019,World Bank Climate Knowledge Portal 
MDV,Maldives,27.78,2020,World Bank Climate Knowledge Portal 
MHL,Marshall Islands,27.4,2010,World Bank Climate Knowledge Portal 
MHL,Marshall Islands,27.73,2011,World Bank Climate Knowledge Portal 
MHL,Marshall Islands,28.25,2012,World Bank Climate Knowledge Portal 
